temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis
4.89992,0.86538684,2.2976,1.1070592,1.2754,4.2450743
5.7407265,1.028743,2.7283998,1.058282,1.1768,4.426661
6.5870132,0.98353654,2.5792003,1.0429596,1.1768,4.365624
7.38898,1.0063695,2.6592,1.0716499,1.2594,4.102894
8.13444,1.1499375,2.6028,1.1574867,1.3582,4.4356556
8.840094,1.1426904,2.5359998,1.1828539,1.3964,3.4933503
9.55096,1.2040325,2.1908004,1.1405936,1.3964,2.9009001
10.310253,1.3585701,2.9243999,1.1068877,1.3058,3.2016997
11.104,1.4035227,2.6663997,1.1680852,1.3058,4.2899346
11.881173,1.473915,2.6584,1.1495341,1.2974,3.5211585
12.592607,1.5490597,2.2096,1.1374664,1.2974,4.3965445
13.377907,1.6351719,2.9308002,1.16482,1.3732,4.602956
14.158987,1.7568974,2.6727996,1.1642401,1.3732,3.6557074
15.008106,1.822324,2.2087998,1.1749772,1.3732,4.4178143
15.754173,1.8940444,2.3596005,1.153729,1.2852,4.082771
16.490173,1.9296671,2.4064012,1.1617123,1.2852,4.2134542
17.268167,2.0630755,2.5700004,1.1474398,1.2852,4.259237
18.03022,2.1242385,2.8443992,1.1168516,1.2466,3.5350094
18.76166,2.1831496,2.1152,1.1140574,1.2726,4.7653413
19.535326,2.2950332,2.9868004,1.1168622,1.3226,3.2866924
20.330954,2.4152853,2.581601,1.1241503,1.3226,3.9047697
