temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis
3.78706,0.43899292,0.039200116,0.42433253,0.47800002,4.0773582
3.76116,0.44399524,-0.25479993,0.4195649,0.47800002,3.876711
3.7334266,0.46168965,0.059999846,0.41058302,0.4584,4.518816
3.74862,0.43927443,0.030000115,0.41946772,0.498,3.6465836
3.7182868,0.4188464,-0.30199987,0.44269174,0.498,4.368884
3.7443066,0.41924766,0.15999994,0.42879772,0.495,3.4496672
3.7651534,0.44408914,0.32959986,0.41716844,0.495,4.6469355
3.8121333,0.4543499,0.079200074,0.40914574,0.4668,4.2401056
3.83482,0.3971253,-0.014799881,0.41021833,0.4668,4.0429087
3.8305533,0.45188937,0.17639999,0.4113829,0.47,4.265467
3.85248,0.42437902,0.063999936,0.41854218,0.4738,4.017899
3.8616,0.42236775,-0.019199753,0.42486942,0.4738,4.3204594
3.9208267,0.46476537,0.33599997,0.42793223,0.48160002,4.1987805
3.8986733,0.47142997,-0.488,0.43166813,0.48160002,4.086234
3.8857,0.43317065,-0.39839992,0.42778856,0.48160002,4.395719
3.8784933,0.4879346,0.4948,0.42174524,0.4628,4.158214
3.8802934,0.43411806,0.036799908,0.42338023,0.4694,3.9921792
3.8595266,0.43034634,-0.02880001,0.4283252,0.4726,4.383254
3.8568332,0.42806864,0.23519984,0.4366962,0.492,4.5210767
