temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis
4.944353,0.8784533,2.1655998,0.4215467,0.4628,4.591424
5.7097135,0.9786768,3.0496001,0.43415186,0.4918,4.3763967
6.51666,0.8904943,2.0588002,0.4425402,0.4918,4.2349105
7.21016,0.99004227,2.7456,0.44940737,0.4944,4.3511834
7.9339533,1.0614078,2.3536,0.45216015,0.52180004,3.8925478
8.734233,1.1734709,3.0871997,0.43977126,0.52180004,3.2729828
9.543,1.2590051,3.0095997,0.4179984,0.48860002,5.0178895
10.382274,1.3570075,2.5896,0.4069408,0.455,4.491226
11.138307,1.4000483,2.6539998,0.41864568,0.4804,3.8308866
11.82558,1.4441739,1.9896004,0.42051113,0.4804,3.5834765
12.584213,1.5234772,2.6784,0.42087504,0.4678,4.2219887
13.384053,1.6531782,3.032,0.42639294,0.4758,4.113815
14.223293,1.749732,2.3728004,0.42589808,0.4758,4.0558543
15.028613,1.8064426,2.6627998,0.4269191,0.4758,4.3077526
15.798766,1.8790473,2.9348,0.4163937,0.47,3.8284574
16.532774,1.9272245,2.4488006,0.41541836,0.4644,4.1094484
17.316353,2.042119,2.2980003,0.4088071,0.452,4.3720675
18.039154,2.174,2.5112007,0.4121082,0.4678,3.9588192
18.811386,2.2164602,2.2411995,0.41409418,0.4678,4.1956463
19.497787,2.3073773,2.5624,0.41234645,0.466,4.8141484
20.307632,2.3742237,2.6848006,0.41469103,0.4828,3.578033
21.0807,2.4826303,2.7079995,0.41534176,0.4828,3.8216143
21.889046,2.5391605,2.5531998,0.41847232,0.4842,3.9625442
22.599073,2.6154163,2.2488008,0.42532328,0.4842,3.5930495
23.3806,2.7201626,2.5215995,0.4231401,0.4842,4.1753078
24.18986,2.8198156,2.3691993,0.4262022,0.4982,3.5960896
25.03288,2.9085274,2.7904007,0.43557203,0.4982,3.889008
25.78358,2.9685528,2.2136002,0.42749426,0.4718,4.4128633
26.47246,3.042305,1.9367996,0.42403084,0.4736,4.6989574
27.17794,3.1087625,2.8379998,0.41372624,0.4736,3.7249875
27.958853,3.213833,2.2052002,0.40242714,0.462,3.9714434
28.737566,3.2913911,2.9584,0.3991077,0.45,4.326294
29.530386,3.3855908,2.8256004,0.41730335,0.4682,4.1130924
30.328867,3.4630508,2.8583992,0.42915198,0.4784,4.0720825
31.05788,3.5445201,2.1867995,0.42617223,0.4784,4.170721
31.864874,3.6616156,2.399601,0.41186023,0.4784,3.7459192
32.6534,3.760508,3.0740006,0.4030635,0.4562,4.552111
33.443752,3.8081741,2.5352006,0.41687602,0.467,3.9829834
34.245167,3.9083185,2.8571975,0.4334191,0.498,4.06893
35.00524,4.01839,2.8567994,0.4416335,0.498,4.2100616
35.721966,4.076335,2.0651994,0.41497293,0.4934,2.8690412
36.45194,4.174897,2.6507995,0.41655904,0.48000002,3.4857373
37.187935,4.2927365,2.3283997,0.40641883,0.4806,3.1741214
37.975155,4.297871,2.653598,0.41264054,0.4806,4.49201
38.717846,4.3932295,2.5320008,0.40254545,0.449,4.510811
39.444725,4.5059447,2.6072006,0.40605086,0.449,4.5390253
40.184547,4.5657244,2.6648011,0.39471403,0.44820002,3.4357343
