temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis
4.948993,0.86693233,2.6744,0.42725757,0.4876,3.4951546
5.72616,0.8976503,2.0792,0.4239369,0.4786,4.081578
6.4680934,0.93935263,2.586,0.42179844,0.4776,3.4702184
7.30094,1.0655392,3.0648,0.43139997,0.4776,4.281291
8.1002,1.1355455,2.3711998,0.43126002,0.48459998,4.075571
8.878153,1.1676034,2.7224002,0.43970057,0.495,4.173812
9.608133,1.2386191,2.7884,0.44609904,0.495,4.2653804
10.37576,1.3536154,2.5020003,0.45195165,0.504,4.261871
11.089273,1.3944378,2.4276001,0.4525075,0.504,4.285436
11.8314,1.4558277,2.1836,0.4515881,0.4996,4.48707
12.512273,1.5175059,2.2564003,0.43522346,0.4996,3.7211604
13.319973,1.576593,2.7548003,0.41656113,0.4796,4.770232
14.115787,1.7486287,2.6495998,0.41067022,0.4646,4.050152
14.971213,1.8120251,2.6652005,0.41905266,0.4646,4.3206496
15.73606,1.8752496,2.5171998,0.41438648,0.4616,3.8521647
16.48712,1.9576037,2.4815993,0.40456212,0.4616,3.940111
17.231466,2.0198295,2.6336007,0.410546,0.482,4.1676993
18.006401,2.1206617,2.7683997,0.43091467,0.495,3.921994
18.772846,2.19595,2.5259995,0.4411266,0.495,3.7715557
19.497473,2.3252542,2.4448,0.4431239,0.4942,4.734545
