timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-26T10:25:45.687594+00:00,temperature,4.402,4.0,none,,
2026-07-26T10:25:47.134850+00:00,temperature,4.344,4.0,none,,
2026-07-26T10:25:47.134850+00:00,vibration_rms,,,none,0.488,
2026-07-26T10:25:49.170872+00:00,temperature,3.965,4.0,none,,
2026-07-26T10:25:51.030175+00:00,temperature,4.261,4.0,none,,
2026-07-26T10:25:51.030175+00:00,vibration_rms,,,none,0.458,
2026-07-26T10:25:53.078400+00:00,temperature,4.551,4.0,none,,
2026-07-26T10:25:54.527957+00:00,temperature,4.245,4.0,none,,
2026-07-26T10:25:54.527957+00:00,vibration_rms,,,none,0.435,
2026-07-26T10:25:56.313596+00:00,temperature,3.898,4.0,none,,
2026-07-26T10:25:58.306728+00:00,temperature,4.328,4.0,none,,
2026-07-26T10:25:58.306728+00:00,vibration_rms,,,none,0.453,
2026-07-26T10:26:00.686804+00:00,temperature,4.653,4.0,none,,
2026-07-26T10:26:02.632576+00:00,temperature,3.903,4.0,none,,
2026-07-26T10:26:02.632576+00:00,vibration_rms,,,none,0.464,
2026-07-26T10:26:04.732620+00:00,temperature,4.075,4.0,none,,
2026-07-26T10:26:06.108886+00:00,temperature,3.502,4.0,none,,
2026-07-26T10:26:06.108886+00:00,vibration_rms,,,none,0.463,
2026-07-26T10:26:07.816486+00:00,temperature,4.189,4.0,none,,
2026-07-26T10:26:09.577043+00:00,temperature,3.965,4.0,none,,
2026-07-26T10:26:09.577043+00:00,vibration_rms,,,none,0.349,
2026-07-26T10:26:09.577043+00:00,door_event,,,none,,OPEN
2026-07-26T10:26:11.408842+00:00,temperature,3.773,4.0,none,,
2026-07-26T10:26:12.878940+00:00,temperature,3.963,4.0,none,,
2026-07-26T10:26:12.878940+00:00,vibration_rms,,,none,0.432,
2026-07-26T10:26:14.903041+00:00,temperature,3.597,4.0,none,,
2026-07-26T10:26:16.255429+00:00,temperature,4.472,4.0,none,,
2026-07-26T10:26:16.255429+00:00,vibration_rms,,,none,0.418,
2026-07-26T10:26:17.966233+00:00,temperature,3.989,4.0,none,,
2026-07-26T10:26:19.500211+00:00,temperature,3.693,4.0,none,,
2026-07-26T10:26:19.500211+00:00,vibration_rms,,,none,0.449,
2026-07-26T10:26:21.149259+00:00,temperature,4.135,4.0,none,,
2026-07-26T10:26:22.504994+00:00,temperature,3.735,4.0,none,,
2026-07-26T10:26:22.504994+00:00,vibration_rms,,,none,0.482,
2026-07-26T10:26:24.378857+00:00,temperature,3.773,4.0,none,,
2026-07-26T10:26:25.757540+00:00,temperature,3.932,4.0,none,,
2026-07-26T10:26:25.757540+00:00,vibration_rms,,,none,0.469,
2026-07-26T10:26:28.259052+00:00,temperature,4.346,4.0,none,,
2026-07-26T10:26:30.631161+00:00,temperature,3.998,4.0,none,,
2026-07-26T10:26:30.631161+00:00,vibration_rms,,,none,0.491,
2026-07-26T10:26:32.576834+00:00,temperature,4.485,4.0,none,,
2026-07-26T10:26:34.112815+00:00,temperature,4.394,4.0,none,,
2026-07-26T10:26:34.112815+00:00,vibration_rms,,,none,0.452,
2026-07-26T10:26:36.001049+00:00,temperature,3.716,4.0,none,,
2026-07-26T10:26:37.310037+00:00,temperature,4.237,4.0,none,,
2026-07-26T10:26:37.310037+00:00,vibration_rms,,,none,0.568,
2026-07-26T10:26:38.942734+00:00,temperature,4.314,4.0,none,,
2026-07-26T10:26:40.305724+00:00,temperature,4.2,4.0,none,,
2026-07-26T10:26:40.305724+00:00,vibration_rms,,,none,0.521,
2026-07-26T10:26:40.305724+00:00,door_event,,,none,,CLOSE
2026-07-26T10:26:41.879632+00:00,temperature,4.089,4.0,none,,
2026-07-26T10:26:43.226206+00:00,temperature,3.818,4.0,none,,
2026-07-26T10:26:43.226206+00:00,vibration_rms,,,none,0.327,
2026-07-26T10:26:44.891745+00:00,temperature,4.04,4.0,none,,
2026-07-26T10:26:46.202409+00:00,temperature,3.841,4.0,none,,
2026-07-26T10:26:46.202409+00:00,vibration_rms,,,none,0.467,
2026-07-26T10:26:47.993970+00:00,temperature,3.79,4.0,none,,
2026-07-26T10:26:49.321004+00:00,temperature,3.792,4.0,none,,
2026-07-26T10:26:49.321004+00:00,vibration_rms,,,none,0.479,
2026-07-26T10:26:50.856474+00:00,temperature,3.956,4.0,none,,
2026-07-26T10:26:52.110789+00:00,temperature,4.165,4.0,none,,
2026-07-26T10:26:52.110789+00:00,vibration_rms,,,none,0.486,
2026-07-26T10:26:53.724994+00:00,temperature,4.163,4.0,none,,
2026-07-26T10:26:55.994394+00:00,temperature,4.222,4.0,none,,
2026-07-26T10:26:55.994394+00:00,vibration_rms,,,none,0.361,
2026-07-26T10:26:58.625105+00:00,temperature,3.862,4.0,none,,
2026-07-26T10:26:58.625105+00:00,door_event,,,none,,OPEN
2026-07-26T10:27:00.447555+00:00,temperature,4.087,4.0,none,,
2026-07-26T10:27:00.447555+00:00,vibration_rms,,,none,0.429,
2026-07-26T10:27:01.990260+00:00,temperature,3.518,4.0,none,,
2026-07-26T10:27:03.236731+00:00,temperature,3.681,4.0,none,,
2026-07-26T10:27:03.236731+00:00,vibration_rms,,,none,0.434,
2026-07-26T10:27:05.576209+00:00,temperature,4.375,4.0,none,,
2026-07-26T10:27:06.823087+00:00,temperature,3.988,4.0,none,,
2026-07-26T10:27:06.823087+00:00,vibration_rms,,,none,0.445,
2026-07-26T10:27:08.532556+00:00,temperature,4.064,4.0,none,,
2026-07-26T10:27:09.824009+00:00,temperature,3.85,4.0,none,,
2026-07-26T10:27:09.824009+00:00,vibration_rms,,,none,0.432,
2026-07-26T10:27:12.288249+00:00,temperature,3.831,4.0,none,,
2026-07-26T10:27:13.885703+00:00,temperature,3.956,4.0,none,,
2026-07-26T10:27:13.885703+00:00,vibration_rms,,,none,0.456,
2026-07-26T10:27:15.390577+00:00,temperature,3.811,4.0,none,,
2026-07-26T10:27:16.789950+00:00,temperature,3.807,4.0,none,,
2026-07-26T10:27:16.789950+00:00,vibration_rms,,,none,0.418,
2026-07-26T10:27:18.239088+00:00,temperature,3.907,4.0,none,,
2026-07-26T10:27:19.805698+00:00,temperature,4.118,4.0,none,,
2026-07-26T10:27:19.805698+00:00,vibration_rms,,,none,0.432,
2026-07-26T10:27:21.900741+00:00,temperature,3.998,4.0,none,,
2026-07-26T10:27:23.383999+00:00,temperature,4.007,4.0,none,,
2026-07-26T10:27:23.383999+00:00,vibration_rms,,,none,0.455,
2026-07-26T10:27:25.720559+00:00,temperature,4.047,4.0,none,,
2026-07-26T10:27:27.169989+00:00,temperature,4.732,4.0,none,,
2026-07-26T10:27:27.169989+00:00,vibration_rms,,,none,0.38,
2026-07-26T10:27:28.802650+00:00,temperature,3.778,4.0,none,,
2026-07-26T10:27:30.214295+00:00,temperature,3.923,4.0,none,,
2026-07-26T10:27:30.214295+00:00,vibration_rms,,,none,0.438,
2026-07-26T10:27:31.930094+00:00,temperature,4.027,4.0,none,,
2026-07-26T10:27:33.333763+00:00,temperature,4.431,4.0,none,,
2026-07-26T10:27:33.333763+00:00,vibration_rms,,,none,0.51,
2026-07-26T10:27:35.030227+00:00,temperature,3.803,4.0,none,,
2026-07-26T10:27:36.348251+00:00,temperature,4.469,4.0,none,,
2026-07-26T10:27:36.348251+00:00,vibration_rms,,,none,0.424,
2026-07-26T10:27:37.823705+00:00,temperature,3.874,4.0,none,,
2026-07-26T10:27:39.113298+00:00,temperature,4.629,4.0,none,,
2026-07-26T10:27:39.113298+00:00,vibration_rms,,,none,0.483,
2026-07-26T10:27:40.659420+00:00,temperature,4.417,4.0,none,,
2026-07-26T10:27:40.659420+00:00,door_event,,,none,,CLOSE
2026-07-26T10:27:41.937345+00:00,temperature,3.977,4.0,none,,
2026-07-26T10:27:41.937345+00:00,vibration_rms,,,none,0.503,
2026-07-26T10:27:43.447279+00:00,temperature,3.729,4.0,none,,
2026-07-26T10:27:44.741464+00:00,temperature,3.685,4.0,none,,
2026-07-26T10:27:44.741464+00:00,vibration_rms,,,none,0.398,
2026-07-26T10:27:46.871487+00:00,temperature,4.208,4.0,none,,
2026-07-26T10:27:48.106204+00:00,temperature,3.9,4.0,none,,
