timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-26T10:50:47.217359+00:00,temperature,3.5,4.0,none,,
2026-07-26T10:50:49.831754+00:00,temperature,3.884,4.0,none,,
2026-07-26T10:50:49.831754+00:00,vibration_rms,,,none,0.464,
2026-07-26T10:50:52.528642+00:00,temperature,3.738,4.0,none,,
2026-07-26T10:50:55.901178+00:00,temperature,4.007,4.0,none,,
2026-07-26T10:50:55.901178+00:00,vibration_rms,,,none,0.417,
2026-07-26T10:50:58.294685+00:00,temperature,3.501,4.0,none,,
2026-07-26T10:51:00.546043+00:00,temperature,3.656,4.0,none,,
2026-07-26T10:51:00.546043+00:00,vibration_rms,,,none,0.416,
2026-07-26T10:51:06.169641+00:00,temperature,4.069,4.0,none,,
2026-07-26T10:51:09.839892+00:00,temperature,4.178,4.0,none,,
2026-07-26T10:51:09.839892+00:00,vibration_rms,,,none,0.431,
2026-07-26T10:51:14.372387+00:00,temperature,3.762,4.0,none,,
2026-07-26T10:51:16.519277+00:00,temperature,4.162,4.0,none,,
2026-07-26T10:51:16.519277+00:00,vibration_rms,,,none,0.434,
2026-07-26T10:51:18.679391+00:00,temperature,3.839,4.0,none,,
2026-07-26T10:51:20.691766+00:00,temperature,3.995,4.0,none,,
2026-07-26T10:51:20.691766+00:00,vibration_rms,,,none,0.471,
2026-07-26T10:51:23.805316+00:00,temperature,4.18,4.0,none,,
2026-07-26T10:51:25.784437+00:00,temperature,3.616,4.0,none,,
2026-07-26T10:51:25.784437+00:00,vibration_rms,,,none,0.413,
2026-07-26T10:51:29.186366+00:00,temperature,4.484,4.0,none,,
2026-07-26T10:51:30.830874+00:00,temperature,3.882,4.0,none,,
2026-07-26T10:51:30.830874+00:00,vibration_rms,,,none,0.417,
2026-07-26T10:51:32.930176+00:00,temperature,3.761,4.0,none,,
2026-07-26T10:51:32.930176+00:00,door_event,,,none,,CLOSE
2026-07-26T10:51:34.547937+00:00,temperature,4.093,4.0,none,,
2026-07-26T10:51:34.547937+00:00,vibration_rms,,,none,0.425,
2026-07-26T10:51:36.934605+00:00,temperature,4.047,4.0,none,,
2026-07-26T10:51:38.420333+00:00,temperature,3.958,4.0,none,,
2026-07-26T10:51:38.420333+00:00,vibration_rms,,,none,0.516,
