timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-08-08T17:07:52.651219+00:00,temperature,3.713,4.0,combined,,
2026-08-08T17:07:54.160123+00:00,temperature,4.791,4.0,combined,,
2026-08-08T17:07:54.160123+00:00,vibration_rms,,,combined,1.068,
2026-08-08T17:07:56.001174+00:00,temperature,3.722,4.0,combined,,
2026-08-08T17:07:57.246329+00:00,temperature,4.158,4.0,combined,,
2026-08-08T17:07:57.246329+00:00,vibration_rms,,,combined,1.282,
2026-08-08T17:07:58.714770+00:00,temperature,4.288,4.0,combined,,
2026-08-08T17:08:00.014951+00:00,temperature,3.861,4.0,combined,,
2026-08-08T17:08:00.014951+00:00,vibration_rms,,,combined,1.132,
2026-08-08T17:08:00.014951+00:00,door_event,,,combined,,OPEN
2026-08-08T17:08:01.647942+00:00,temperature,4.58,4.0,combined,,
2026-08-08T17:08:03.148194+00:00,temperature,4.499,4.0,combined,,
2026-08-08T17:08:03.148194+00:00,vibration_rms,,,combined,1.308,
2026-08-08T17:08:05.195239+00:00,temperature,4.787,4.0,combined,,
2026-08-08T17:08:06.612887+00:00,temperature,5.291,4.0,combined,,
2026-08-08T17:08:06.612887+00:00,vibration_rms,,,combined,1.535,
2026-08-08T17:08:08.382529+00:00,temperature,4.874,4.0,combined,,
2026-08-08T17:08:09.772298+00:00,temperature,4.441,4.0,combined,,
2026-08-08T17:08:09.772298+00:00,vibration_rms,,,combined,1.215,
2026-08-08T17:08:13.906615+00:00,temperature,4.632,4.0,combined,,
2026-08-08T17:08:15.893419+00:00,temperature,5.68,4.0,combined,,
2026-08-08T17:08:15.893419+00:00,vibration_rms,,,combined,1.16,
2026-08-08T17:08:18.080750+00:00,temperature,4.629,4.0,combined,,
2026-08-08T17:08:19.492627+00:00,temperature,5.27,4.0,combined,,
2026-08-08T17:08:19.492627+00:00,vibration_rms,,,combined,0.975,
2026-08-08T17:08:21.392850+00:00,temperature,5.791,4.0,combined,,
2026-08-08T17:08:22.858908+00:00,temperature,4.978,4.0,combined,,
2026-08-08T17:08:22.858908+00:00,vibration_rms,,,combined,1.15,
2026-08-08T17:08:24.901919+00:00,temperature,5.44,4.0,combined,,
2026-08-08T17:08:27.425759+00:00,temperature,5.368,4.0,combined,,
2026-08-08T17:08:27.425759+00:00,vibration_rms,,,combined,1.231,
2026-08-08T17:08:30.070339+00:00,temperature,5.525,4.0,combined,,
2026-08-08T17:08:32.616313+00:00,temperature,5.665,4.0,combined,,
2026-08-08T17:08:32.616313+00:00,vibration_rms,,,combined,1.288,
2026-08-08T17:08:36.038434+00:00,temperature,5.259,4.0,combined,,
