timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-29T18:33:24.481515+00:00,temperature,3.648,4.0,combined,,
2026-07-29T18:33:25.753935+00:00,temperature,4.407,4.0,combined,,
2026-07-29T18:33:25.753935+00:00,vibration_rms,,,combined,1.017,
2026-07-29T18:33:27.176708+00:00,temperature,3.911,4.0,combined,,
2026-07-29T18:33:28.373858+00:00,temperature,4.105,4.0,combined,,
2026-07-29T18:33:28.373858+00:00,vibration_rms,,,combined,1.203,
2026-07-29T18:33:28.373858+00:00,door_event,,,combined,,CLOSE
2026-07-29T18:33:29.790595+00:00,temperature,3.878,4.0,combined,,
2026-07-29T18:33:31.011610+00:00,temperature,4.435,4.0,combined,,
2026-07-29T18:33:31.011610+00:00,vibration_rms,,,combined,1.407,
2026-07-29T18:33:32.421355+00:00,temperature,3.764,4.0,combined,,
2026-07-29T18:33:33.663698+00:00,temperature,4.778,4.0,combined,,
2026-07-29T18:33:33.663698+00:00,vibration_rms,,,combined,1.281,
2026-07-29T18:33:35.074499+00:00,temperature,4.641,4.0,combined,,
2026-07-29T18:33:36.377814+00:00,temperature,4.678,4.0,combined,,
2026-07-29T18:33:36.377814+00:00,vibration_rms,,,combined,1.087,
2026-07-29T18:33:36.377814+00:00,door_event,,,combined,,CLOSE
2026-07-29T18:33:37.867260+00:00,temperature,4.914,4.0,combined,,
2026-07-29T18:33:39.088468+00:00,temperature,4.893,4.0,combined,,
2026-07-29T18:33:39.088468+00:00,vibration_rms,,,combined,0.945,
2026-07-29T18:33:40.466516+00:00,temperature,4.603,4.0,combined,,
2026-07-29T18:33:40.466516+00:00,door_event,,,combined,,OPEN
2026-07-29T18:33:41.701311+00:00,temperature,4.563,4.0,combined,,
2026-07-29T18:33:41.701311+00:00,vibration_rms,,,combined,1.417,
2026-07-29T18:33:43.108845+00:00,temperature,5.078,4.0,combined,,
2026-07-29T18:33:44.323628+00:00,temperature,5.465,4.0,combined,,
2026-07-29T18:33:44.323628+00:00,vibration_rms,,,combined,1.158,
2026-07-29T18:33:45.754214+00:00,temperature,5.074,4.0,combined,,
2026-07-29T18:33:46.957038+00:00,temperature,5.037,4.0,combined,,
2026-07-29T18:33:46.957038+00:00,vibration_rms,,,combined,1.386,
2026-07-29T18:33:48.356188+00:00,temperature,4.955,4.0,combined,,
2026-07-29T18:33:49.568332+00:00,temperature,5.337,4.0,combined,,
2026-07-29T18:33:49.568332+00:00,vibration_rms,,,combined,1.184,
2026-07-29T18:33:50.993032+00:00,temperature,5.623,4.0,combined,,
2026-07-29T18:33:52.269924+00:00,temperature,6.041,4.0,combined,,
2026-07-29T18:33:52.269924+00:00,vibration_rms,,,combined,0.9,
2026-07-29T18:33:53.724363+00:00,temperature,6.107,4.0,combined,,
2026-07-29T18:33:54.968076+00:00,temperature,5.472,4.0,combined,,
2026-07-29T18:33:54.968076+00:00,vibration_rms,,,combined,1.012,
2026-07-29T18:33:56.412398+00:00,temperature,6.592,4.0,combined,,
2026-07-29T18:33:57.658732+00:00,temperature,6.359,4.0,combined,,
2026-07-29T18:33:57.658732+00:00,vibration_rms,,,combined,1.199,
2026-07-29T18:33:59.054782+00:00,temperature,5.348,4.0,combined,,
2026-07-29T18:34:00.270071+00:00,temperature,5.918,4.0,combined,,
2026-07-29T18:34:00.270071+00:00,vibration_rms,,,combined,1.311,
2026-07-29T18:34:01.635338+00:00,temperature,6.172,4.0,combined,,
2026-07-29T18:34:02.846384+00:00,temperature,6.245,4.0,combined,,
2026-07-29T18:34:02.846384+00:00,vibration_rms,,,combined,1.019,
2026-07-29T18:34:04.244150+00:00,temperature,6.411,4.0,combined,,
2026-07-29T18:34:05.515628+00:00,temperature,6.75,4.0,combined,,
2026-07-29T18:34:05.515628+00:00,vibration_rms,,,combined,1.175,
2026-07-29T18:34:05.515628+00:00,door_event,,,combined,,OPEN
2026-07-29T18:34:06.974267+00:00,temperature,7.003,4.0,combined,,
2026-07-29T18:34:08.200592+00:00,temperature,6.969,4.0,combined,,
2026-07-29T18:34:08.200592+00:00,vibration_rms,,,combined,1.23,
2026-07-29T18:34:09.588502+00:00,temperature,6.537,4.0,combined,,
2026-07-29T18:34:10.790339+00:00,temperature,6.779,4.0,combined,,
2026-07-29T18:34:10.790339+00:00,vibration_rms,,,combined,1.486,
2026-07-29T18:34:12.170437+00:00,temperature,6.661,4.0,combined,,
2026-07-29T18:34:13.401198+00:00,temperature,6.338,4.0,combined,,
2026-07-29T18:34:13.401198+00:00,vibration_rms,,,combined,0.989,
2026-07-29T18:34:14.769885+00:00,temperature,6.646,4.0,combined,,
2026-07-29T18:34:14.769885+00:00,door_event,,,combined,,OPEN
2026-07-29T18:34:16.006848+00:00,temperature,7.094,4.0,combined,,
2026-07-29T18:34:16.006848+00:00,vibration_rms,,,combined,1.229,
2026-07-29T18:34:17.481265+00:00,temperature,7.24,4.0,combined,,
2026-07-29T18:34:18.748507+00:00,temperature,6.966,4.0,combined,,
2026-07-29T18:34:18.748507+00:00,vibration_rms,,,combined,1.215,
2026-07-29T18:34:20.167468+00:00,temperature,7.526,4.0,combined,,
2026-07-29T18:34:21.382419+00:00,temperature,7.816,4.0,combined,,
2026-07-29T18:34:21.382419+00:00,vibration_rms,,,combined,1.209,
2026-07-29T18:34:22.800912+00:00,temperature,7.991,4.0,combined,,
