timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-29T18:51:33.899938+00:00,temperature,4.085,4.0,none,,
2026-07-29T18:51:35.097230+00:00,temperature,4.028,4.0,none,,
2026-07-29T18:51:35.097230+00:00,vibration_rms,,,none,0.343,
2026-07-29T18:51:36.562981+00:00,temperature,4.38,4.0,none,,
2026-07-29T18:51:37.764810+00:00,temperature,3.465,4.0,none,,
2026-07-29T18:51:37.764810+00:00,vibration_rms,,,none,0.442,
2026-07-29T18:51:39.131649+00:00,temperature,4.076,4.0,none,,
2026-07-29T18:51:40.361927+00:00,temperature,4.229,4.0,none,,
2026-07-29T18:51:40.361927+00:00,vibration_rms,,,none,0.423,
2026-07-29T18:51:41.752015+00:00,temperature,3.798,4.0,none,,
2026-07-29T18:51:42.989952+00:00,temperature,3.823,4.0,none,,
2026-07-29T18:51:42.989952+00:00,vibration_rms,,,none,0.463,
2026-07-29T18:51:42.989952+00:00,door_event,,,none,,CLOSE
2026-07-29T18:51:44.446824+00:00,temperature,4.099,4.0,none,,
2026-07-29T18:51:45.666211+00:00,temperature,3.717,4.0,none,,
2026-07-29T18:51:45.666211+00:00,vibration_rms,,,none,0.429,
2026-07-29T18:51:47.064155+00:00,temperature,4.03,4.0,none,,
2026-07-29T18:51:48.297556+00:00,temperature,4.385,4.0,none,,
2026-07-29T18:51:48.297556+00:00,vibration_rms,,,none,0.368,
2026-07-29T18:51:49.685948+00:00,temperature,4.226,4.0,none,,
2026-07-29T18:51:50.933364+00:00,temperature,3.846,4.0,none,,
2026-07-29T18:51:50.933364+00:00,vibration_rms,,,none,0.539,
2026-07-29T18:51:52.341525+00:00,temperature,3.844,4.0,none,,
2026-07-29T18:51:52.341525+00:00,door_event,,,none,,OPEN
2026-07-29T18:51:53.592066+00:00,temperature,4.105,4.0,none,,
2026-07-29T18:51:53.592066+00:00,vibration_rms,,,none,0.492,
2026-07-29T18:51:55.033618+00:00,temperature,3.967,4.0,none,,
2026-07-29T18:51:56.220428+00:00,temperature,4.169,4.0,none,,
2026-07-29T18:51:56.220428+00:00,vibration_rms,,,none,0.385,
2026-07-29T18:51:57.589249+00:00,temperature,3.766,4.0,none,,
2026-07-29T18:51:58.790388+00:00,temperature,4.133,4.0,none,,
2026-07-29T18:51:58.790388+00:00,vibration_rms,,,none,0.445,
2026-07-29T18:52:00.208837+00:00,temperature,3.855,4.0,none,,
2026-07-29T18:52:01.422972+00:00,temperature,3.481,4.0,none,,
2026-07-29T18:52:01.422972+00:00,vibration_rms,,,none,0.418,
2026-07-29T18:52:02.801550+00:00,temperature,3.549,4.0,none,,
2026-07-29T18:52:04.012012+00:00,temperature,4.232,4.0,none,,
2026-07-29T18:52:04.012012+00:00,vibration_rms,,,none,0.426,
2026-07-29T18:52:05.444655+00:00,temperature,4.184,4.0,none,,
2026-07-29T18:52:06.644187+00:00,temperature,3.838,4.0,none,,
2026-07-29T18:52:06.644187+00:00,vibration_rms,,,none,0.501,
2026-07-29T18:52:08.014612+00:00,temperature,3.635,4.0,none,,
2026-07-29T18:52:09.213103+00:00,temperature,4.101,4.0,none,,
2026-07-29T18:52:09.213103+00:00,vibration_rms,,,none,0.484,
2026-07-29T18:52:10.592161+00:00,temperature,4.114,4.0,none,,
2026-07-29T18:52:11.790566+00:00,temperature,4.133,4.0,none,,
2026-07-29T18:52:11.790566+00:00,vibration_rms,,,none,0.391,
2026-07-29T18:52:13.157299+00:00,temperature,3.424,4.0,none,,
2026-07-29T18:52:14.380239+00:00,temperature,3.544,4.0,none,,
2026-07-29T18:52:14.380239+00:00,vibration_rms,,,none,0.393,
2026-07-29T18:52:15.810629+00:00,temperature,4.191,4.0,none,,
2026-07-29T18:52:17.013569+00:00,temperature,4.455,4.0,none,,
2026-07-29T18:52:17.013569+00:00,vibration_rms,,,none,0.39,
2026-07-29T18:52:18.421896+00:00,temperature,3.895,4.0,none,,
2026-07-29T18:52:19.632948+00:00,temperature,3.554,4.0,none,,
2026-07-29T18:52:19.632948+00:00,vibration_rms,,,none,0.482,
2026-07-29T18:52:21.021743+00:00,temperature,4.23,4.0,none,,
2026-07-29T18:52:22.224736+00:00,temperature,4.027,4.0,none,,
2026-07-29T18:52:22.224736+00:00,vibration_rms,,,none,0.448,
2026-07-29T18:52:23.557290+00:00,temperature,4.164,4.0,none,,
2026-07-29T18:52:24.736774+00:00,temperature,3.958,4.0,none,,
2026-07-29T18:52:24.736774+00:00,vibration_rms,,,none,0.448,
2026-07-29T18:52:26.113045+00:00,temperature,3.948,4.0,none,,
2026-07-29T18:52:27.325424+00:00,temperature,4.212,4.0,none,,
2026-07-29T18:52:27.325424+00:00,vibration_rms,,,none,0.487,
2026-07-29T18:52:28.725784+00:00,temperature,3.779,4.0,none,,
2026-07-29T18:52:29.914898+00:00,temperature,4.062,4.0,none,,
2026-07-29T18:52:29.914898+00:00,vibration_rms,,,none,0.358,
2026-07-29T18:52:31.291008+00:00,temperature,4.004,4.0,none,,
2026-07-29T18:52:32.491302+00:00,temperature,4.414,4.0,none,,
2026-07-29T18:52:32.491302+00:00,vibration_rms,,,none,0.384,
2026-07-29T18:52:33.894803+00:00,temperature,4.67,4.0,none,,
2026-07-29T18:52:35.103130+00:00,temperature,4.166,4.0,none,,
2026-07-29T18:52:35.103130+00:00,vibration_rms,,,none,0.442,
2026-07-29T18:52:36.521991+00:00,temperature,3.791,4.0,none,,
2026-07-29T18:52:37.737093+00:00,temperature,3.992,4.0,none,,
2026-07-29T18:52:37.737093+00:00,vibration_rms,,,none,0.457,
2026-07-29T18:52:39.156600+00:00,temperature,3.765,4.0,none,,
2026-07-29T18:52:40.348817+00:00,temperature,3.275,4.0,none,,
2026-07-29T18:52:40.348817+00:00,vibration_rms,,,none,0.407,
2026-07-29T18:52:41.715370+00:00,temperature,3.632,4.0,none,,
2026-07-29T18:52:42.882664+00:00,temperature,3.512,4.0,none,,
2026-07-29T18:52:42.882664+00:00,vibration_rms,,,none,0.45,
2026-07-29T18:52:44.237559+00:00,temperature,4.225,4.0,none,,
2026-07-29T18:52:45.416588+00:00,temperature,3.826,4.0,none,,
2026-07-29T18:52:45.416588+00:00,vibration_rms,,,none,0.473,
2026-07-29T18:52:46.783383+00:00,temperature,3.874,4.0,none,,
2026-07-29T18:52:48.049002+00:00,temperature,4.261,4.0,none,,
2026-07-29T18:52:48.049002+00:00,vibration_rms,,,none,0.455,
2026-07-29T18:52:49.485343+00:00,temperature,3.796,4.0,none,,
2026-07-29T18:52:50.683895+00:00,temperature,3.997,4.0,none,,
2026-07-29T18:52:50.683895+00:00,vibration_rms,,,none,0.394,
2026-07-29T18:52:52.049412+00:00,temperature,4.4,4.0,none,,
2026-07-29T18:52:52.049412+00:00,door_event,,,none,,CLOSE
2026-07-29T18:52:53.284201+00:00,temperature,4.111,4.0,none,,
2026-07-29T18:52:53.284201+00:00,vibration_rms,,,none,0.442,
2026-07-29T18:52:54.648650+00:00,temperature,3.211,4.0,none,,
2026-07-29T18:52:55.906237+00:00,temperature,4.099,4.0,none,,
2026-07-29T18:52:55.906237+00:00,vibration_rms,,,none,0.553,
2026-07-29T18:52:57.318117+00:00,temperature,4.191,4.0,none,,
2026-07-29T18:52:58.527471+00:00,temperature,3.581,4.0,none,,
2026-07-29T18:52:58.527471+00:00,vibration_rms,,,none,0.426,
2026-07-29T18:52:59.937088+00:00,temperature,3.605,4.0,none,,
2026-07-29T18:53:01.149494+00:00,temperature,3.972,4.0,none,,
2026-07-29T18:53:01.149494+00:00,vibration_rms,,,none,0.506,
2026-07-29T18:53:02.505254+00:00,temperature,3.83,4.0,none,,
2026-07-29T18:53:03.727332+00:00,temperature,3.976,4.0,none,,
2026-07-29T18:53:03.727332+00:00,vibration_rms,,,none,0.428,
2026-07-29T18:53:05.135981+00:00,temperature,3.9,4.0,none,,
2026-07-29T18:53:06.338528+00:00,temperature,4.082,4.0,none,,
2026-07-29T18:53:06.338528+00:00,vibration_rms,,,none,0.494,
2026-07-29T18:53:07.769484+00:00,temperature,3.774,4.0,none,,
2026-07-29T18:53:09.039332+00:00,temperature,4.057,4.0,none,,
2026-07-29T18:53:09.039332+00:00,vibration_rms,,,none,0.382,
2026-07-29T18:53:10.472783+00:00,temperature,4.5,4.0,none,,
2026-07-29T18:53:11.706202+00:00,temperature,3.621,4.0,none,,
2026-07-29T18:53:11.706202+00:00,vibration_rms,,,none,0.433,
2026-07-29T18:53:13.114542+00:00,temperature,4.391,4.0,none,,
2026-07-29T18:53:14.328359+00:00,temperature,3.945,4.0,none,,
2026-07-29T18:53:14.328359+00:00,vibration_rms,,,none,0.48,
2026-07-29T18:53:15.683841+00:00,temperature,4.419,4.0,none,,
2026-07-29T18:53:16.884579+00:00,temperature,4.287,4.0,none,,
2026-07-29T18:53:16.884579+00:00,vibration_rms,,,none,0.415,
2026-07-29T18:53:18.252794+00:00,temperature,3.827,4.0,none,,
2026-07-29T18:53:19.460480+00:00,temperature,4.474,4.0,none,,
2026-07-29T18:53:19.460480+00:00,vibration_rms,,,none,0.524,
2026-07-29T18:53:20.860759+00:00,temperature,3.909,4.0,none,,
2026-07-29T18:53:22.051126+00:00,temperature,4.037,4.0,none,,
2026-07-29T18:53:22.051126+00:00,vibration_rms,,,none,0.456,
2026-07-29T18:53:23.470947+00:00,temperature,3.628,4.0,none,,
2026-07-29T18:53:24.641050+00:00,temperature,4.125,4.0,none,,
2026-07-29T18:53:24.641050+00:00,vibration_rms,,,none,0.5,
2026-07-29T18:53:25.984472+00:00,temperature,3.853,4.0,none,,
2026-07-29T18:53:27.198253+00:00,temperature,3.763,4.0,none,,
2026-07-29T18:53:27.198253+00:00,vibration_rms,,,none,0.486,
2026-07-29T18:53:28.565851+00:00,temperature,3.534,4.0,none,,
2026-07-29T18:53:29.763347+00:00,temperature,4.396,4.0,none,,
2026-07-29T18:53:29.763347+00:00,vibration_rms,,,none,0.463,
2026-07-29T18:53:31.152709+00:00,temperature,4.165,4.0,none,,
2026-07-29T18:53:32.329452+00:00,temperature,4.064,4.0,none,,
2026-07-29T18:53:32.329452+00:00,vibration_rms,,,none,0.354,
2026-07-29T18:53:33.651800+00:00,temperature,4.005,4.0,none,,
2026-07-29T18:53:33.651800+00:00,door_event,,,none,,OPEN
2026-07-29T18:53:34.827144+00:00,temperature,3.96,4.0,none,,
2026-07-29T18:53:34.827144+00:00,vibration_rms,,,none,0.503,
2026-07-29T18:53:36.219070+00:00,temperature,3.784,4.0,none,,
2026-07-29T18:53:37.441704+00:00,temperature,4.507,4.0,none,,
2026-07-29T18:53:37.441704+00:00,vibration_rms,,,none,0.524,
