timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-26T20:04:42.916880+00:00,temperature,3.923,4.0,none,,
2026-07-26T20:04:44.135072+00:00,temperature,3.994,4.0,none,,
2026-07-26T20:04:44.135072+00:00,vibration_rms,,,none,0.435,
2026-07-26T20:04:45.515057+00:00,temperature,3.646,4.0,none,,
2026-07-26T20:04:45.515057+00:00,door_event,,,none,,OPEN
2026-07-26T20:04:46.683904+00:00,temperature,4.074,4.0,none,,
2026-07-26T20:04:46.683904+00:00,vibration_rms,,,none,0.493,
2026-07-26T20:04:48.051859+00:00,temperature,3.678,4.0,none,,
2026-07-26T20:04:49.314033+00:00,temperature,3.699,4.0,none,,
2026-07-26T20:04:49.314033+00:00,vibration_rms,,,none,0.452,
2026-07-26T20:04:50.713679+00:00,temperature,4.633,4.0,none,,
2026-07-26T20:04:51.881816+00:00,temperature,3.441,4.0,none,,
2026-07-26T20:04:51.881816+00:00,vibration_rms,,,none,0.378,
2026-07-26T20:04:53.270680+00:00,temperature,3.964,4.0,none,,
2026-07-26T20:04:54.519891+00:00,temperature,3.695,4.0,none,,
2026-07-26T20:04:54.519891+00:00,vibration_rms,,,none,0.459,
2026-07-26T20:04:55.882782+00:00,temperature,3.85,4.0,none,,
2026-07-26T20:04:57.070020+00:00,temperature,3.465,4.0,none,,
2026-07-26T20:04:57.070020+00:00,vibration_rms,,,none,0.39,
2026-07-26T20:04:57.070020+00:00,door_event,,,none,,CLOSE
2026-07-26T20:04:58.384050+00:00,temperature,4.324,4.0,none,,
2026-07-26T20:04:59.525593+00:00,temperature,4.439,4.0,none,,
2026-07-26T20:04:59.525593+00:00,vibration_rms,,,none,0.481,
2026-07-26T20:05:00.830078+00:00,temperature,4.045,4.0,none,,
2026-07-26T20:05:02.006401+00:00,temperature,3.839,4.0,none,,
2026-07-26T20:05:02.006401+00:00,vibration_rms,,,none,0.531,
2026-07-26T20:05:03.340040+00:00,temperature,3.828,4.0,none,,
2026-07-26T20:05:04.493037+00:00,temperature,3.971,4.0,none,,
