timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-08-08T16:23:49.951933+00:00,temperature,4.482,4.0,temp_drift,,
2026-08-08T16:23:51.486819+00:00,temperature,3.968,4.0,temp_drift,,
2026-08-08T16:23:51.486819+00:00,vibration_rms,,,temp_drift,0.351,
2026-08-08T16:23:54.292033+00:00,temperature,4.302,4.0,temp_drift,,
2026-08-08T16:23:54.292033+00:00,door_event,,,temp_drift,,CLOSE
2026-08-08T16:23:55.616819+00:00,temperature,4.086,4.0,temp_drift,,
2026-08-08T16:23:55.616819+00:00,vibration_rms,,,temp_drift,0.445,
2026-08-08T16:23:57.214724+00:00,temperature,4.449,4.0,temp_drift,,
2026-08-08T16:23:58.454104+00:00,temperature,4.634,4.0,temp_drift,,
2026-08-08T16:23:58.454104+00:00,vibration_rms,,,temp_drift,0.527,
2026-08-08T16:23:59.904663+00:00,temperature,4.3,4.0,temp_drift,,
2026-08-08T16:24:01.215228+00:00,temperature,4.695,4.0,temp_drift,,
2026-08-08T16:24:01.215228+00:00,vibration_rms,,,temp_drift,0.468,
2026-08-08T16:24:03.049027+00:00,temperature,4.496,4.0,temp_drift,,
2026-08-08T16:24:04.613461+00:00,temperature,4.495,4.0,temp_drift,,
2026-08-08T16:24:04.613461+00:00,vibration_rms,,,temp_drift,0.443,
2026-08-08T16:24:06.577260+00:00,temperature,5.114,4.0,temp_drift,,
2026-08-08T16:24:08.094856+00:00,temperature,4.636,4.0,temp_drift,,
2026-08-08T16:24:08.094856+00:00,vibration_rms,,,temp_drift,0.484,
2026-08-08T16:24:10.460639+00:00,temperature,4.869,4.0,temp_drift,,
2026-08-08T16:24:12.173187+00:00,temperature,4.943,4.0,temp_drift,,
2026-08-08T16:24:12.173187+00:00,vibration_rms,,,temp_drift,0.334,
2026-08-08T16:24:14.427998+00:00,temperature,5.225,4.0,temp_drift,,
2026-08-08T16:24:15.968977+00:00,temperature,4.811,4.0,temp_drift,,
2026-08-08T16:24:15.968977+00:00,vibration_rms,,,temp_drift,0.422,
2026-08-08T16:24:18.015936+00:00,temperature,4.849,4.0,temp_drift,,
2026-08-08T16:24:19.683077+00:00,temperature,5.492,4.0,temp_drift,,
2026-08-08T16:24:19.683077+00:00,vibration_rms,,,temp_drift,0.518,
2026-08-08T16:24:23.650420+00:00,temperature,5.427,4.0,temp_drift,,
2026-08-08T16:24:25.272198+00:00,temperature,5.808,4.0,temp_drift,,
2026-08-08T16:24:25.272198+00:00,vibration_rms,,,temp_drift,0.423,
2026-08-08T16:24:27.222942+00:00,temperature,5.59,4.0,temp_drift,,
2026-08-08T16:24:28.693926+00:00,temperature,6.187,4.0,temp_drift,,
2026-08-08T16:24:28.693926+00:00,vibration_rms,,,temp_drift,0.474,
2026-08-08T16:24:32.974742+00:00,temperature,5.571,4.0,temp_drift,,
2026-08-08T16:24:34.508915+00:00,temperature,5.477,4.0,temp_drift,,
2026-08-08T16:24:34.508915+00:00,vibration_rms,,,temp_drift,0.452,
2026-08-08T16:24:36.553174+00:00,temperature,6.281,4.0,temp_drift,,
2026-08-08T16:24:37.973190+00:00,temperature,6.25,4.0,temp_drift,,
2026-08-08T16:24:37.973190+00:00,vibration_rms,,,temp_drift,0.459,
2026-08-08T16:24:39.895349+00:00,temperature,6.16,4.0,temp_drift,,
2026-08-08T16:24:41.484151+00:00,temperature,6.467,4.0,temp_drift,,
2026-08-08T16:24:41.484151+00:00,vibration_rms,,,temp_drift,0.371,
2026-08-08T16:24:43.496913+00:00,temperature,6.14,4.0,temp_drift,,
2026-08-08T16:24:44.958288+00:00,temperature,5.74,4.0,temp_drift,,
2026-08-08T16:24:44.958288+00:00,vibration_rms,,,temp_drift,0.414,
2026-08-08T16:24:46.794606+00:00,temperature,6.499,4.0,temp_drift,,
2026-08-08T16:24:48.195961+00:00,temperature,6.814,4.0,temp_drift,,
2026-08-08T16:24:48.195961+00:00,vibration_rms,,,temp_drift,0.401,
2026-08-08T16:24:50.040125+00:00,temperature,6.418,4.0,temp_drift,,
2026-08-08T16:24:51.386057+00:00,temperature,6.536,4.0,temp_drift,,
2026-08-08T16:24:51.386057+00:00,vibration_rms,,,temp_drift,0.468,
2026-08-08T16:24:53.017258+00:00,temperature,5.937,4.0,temp_drift,,
2026-08-08T16:24:54.406146+00:00,temperature,6.266,4.0,temp_drift,,
2026-08-08T16:24:54.406146+00:00,vibration_rms,,,temp_drift,0.491,
2026-08-08T16:24:56.149510+00:00,temperature,7.102,4.0,temp_drift,,
2026-08-08T16:24:57.810383+00:00,temperature,6.869,4.0,temp_drift,,
2026-08-08T16:24:57.810383+00:00,vibration_rms,,,temp_drift,0.415,
2026-08-08T16:24:59.463784+00:00,temperature,7.534,4.0,temp_drift,,
2026-08-08T16:25:00.762943+00:00,temperature,7.259,4.0,temp_drift,,
2026-08-08T16:25:00.762943+00:00,vibration_rms,,,temp_drift,0.48,
2026-08-08T16:25:02.531379+00:00,temperature,7.275,4.0,temp_drift,,
2026-08-08T16:25:03.856607+00:00,temperature,7.886,4.0,temp_drift,,
2026-08-08T16:25:03.856607+00:00,vibration_rms,,,temp_drift,0.408,
2026-08-08T16:25:06.169652+00:00,temperature,7.803,4.0,temp_drift,,
