timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-26T19:48:39.318875+00:00,temperature,4.114,4.0,combined,,
2026-07-26T19:48:40.502147+00:00,temperature,3.795,4.0,combined,,
2026-07-26T19:48:40.502147+00:00,vibration_rms,,,combined,1.08,
2026-07-26T19:48:41.768397+00:00,temperature,4.234,4.0,combined,,
2026-07-26T19:48:42.890648+00:00,temperature,4.417,4.0,combined,,
2026-07-26T19:48:42.890648+00:00,vibration_rms,,,combined,1.206,
2026-07-26T19:48:44.269111+00:00,temperature,4.031,4.0,combined,,
2026-07-26T19:48:45.414754+00:00,temperature,4.489,4.0,combined,,
2026-07-26T19:48:45.414754+00:00,vibration_rms,,,combined,1.144,
2026-07-26T19:48:46.691474+00:00,temperature,4.972,4.0,combined,,
2026-07-26T19:48:47.851940+00:00,temperature,4.283,4.0,combined,,
2026-07-26T19:48:47.851940+00:00,vibration_rms,,,combined,1.373,
2026-07-26T19:48:49.136638+00:00,temperature,4.53,4.0,combined,,
2026-07-26T19:48:50.303206+00:00,temperature,4.554,4.0,combined,,
2026-07-26T19:48:50.303206+00:00,vibration_rms,,,combined,1.265,
2026-07-26T19:48:51.603589+00:00,temperature,4.563,4.0,combined,,
2026-07-26T19:48:52.772914+00:00,temperature,5.089,4.0,combined,,
2026-07-26T19:48:52.772914+00:00,vibration_rms,,,combined,1.03,
2026-07-26T19:48:54.102346+00:00,temperature,4.408,4.0,combined,,
2026-07-26T19:48:55.258668+00:00,temperature,5.151,4.0,combined,,
2026-07-26T19:48:55.258668+00:00,vibration_rms,,,combined,1.446,
2026-07-26T19:48:56.513588+00:00,temperature,4.377,4.0,combined,,
2026-07-26T19:48:57.699677+00:00,temperature,5.22,4.0,combined,,
2026-07-26T19:48:57.699677+00:00,vibration_rms,,,combined,1.263,
2026-07-26T19:48:58.983082+00:00,temperature,4.731,4.0,combined,,
2026-07-26T19:49:00.136043+00:00,temperature,5.115,4.0,combined,,
2026-07-26T19:49:00.136043+00:00,vibration_rms,,,combined,1.092,
2026-07-26T19:49:01.517647+00:00,temperature,5.568,4.0,combined,,
2026-07-26T19:49:02.670383+00:00,temperature,5.658,4.0,combined,,
2026-07-26T19:49:02.670383+00:00,vibration_rms,,,combined,1.019,
2026-07-26T19:49:03.935762+00:00,temperature,5.598,4.0,combined,,
2026-07-26T19:49:05.058256+00:00,temperature,5.688,4.0,combined,,
2026-07-26T19:49:05.058256+00:00,vibration_rms,,,combined,1.006,
2026-07-26T19:49:06.328194+00:00,temperature,5.99,4.0,combined,,
2026-07-26T19:49:07.482923+00:00,temperature,5.936,4.0,combined,,
2026-07-26T19:49:07.482923+00:00,vibration_rms,,,combined,1.166,
2026-07-26T19:49:07.482923+00:00,door_event,,,combined,,OPEN
2026-07-26T19:49:08.814484+00:00,temperature,5.921,4.0,combined,,
2026-07-26T19:49:09.981843+00:00,temperature,6.366,4.0,combined,,
2026-07-26T19:49:09.981843+00:00,vibration_rms,,,combined,1.214,
2026-07-26T19:49:11.292339+00:00,temperature,6.36,4.0,combined,,
2026-07-26T19:49:12.436656+00:00,temperature,5.853,4.0,combined,,
2026-07-26T19:49:12.436656+00:00,vibration_rms,,,combined,1.374,
2026-07-26T19:49:13.749109+00:00,temperature,5.854,4.0,combined,,
2026-07-26T19:49:14.913627+00:00,temperature,6.18,4.0,combined,,
2026-07-26T19:49:14.913627+00:00,vibration_rms,,,combined,1.124,
2026-07-26T19:49:16.205358+00:00,temperature,6.781,4.0,combined,,
2026-07-26T19:49:17.389543+00:00,temperature,6.173,4.0,combined,,
2026-07-26T19:49:17.389543+00:00,vibration_rms,,,combined,0.924,
2026-07-26T19:49:18.739938+00:00,temperature,7.143,4.0,combined,,
2026-07-26T19:49:19.914532+00:00,temperature,7.028,4.0,combined,,
2026-07-26T19:49:19.914532+00:00,vibration_rms,,,combined,1.126,
2026-07-26T19:49:21.282358+00:00,temperature,7.678,4.0,combined,,
2026-07-26T19:49:22.452176+00:00,temperature,7.155,4.0,combined,,
2026-07-26T19:49:22.452176+00:00,vibration_rms,,,combined,1.06,
2026-07-26T19:49:23.770837+00:00,temperature,6.904,4.0,combined,,
2026-07-26T19:49:24.921635+00:00,temperature,6.633,4.0,combined,,
2026-07-26T19:49:24.921635+00:00,vibration_rms,,,combined,1.125,
2026-07-26T19:49:26.226994+00:00,temperature,6.975,4.0,combined,,
2026-07-26T19:49:27.393123+00:00,temperature,7.273,4.0,combined,,
2026-07-26T19:49:27.393123+00:00,vibration_rms,,,combined,1.091,
2026-07-26T19:49:28.681283+00:00,temperature,7.096,4.0,combined,,
2026-07-26T19:49:29.837643+00:00,temperature,7.143,4.0,combined,,
2026-07-26T19:49:29.837643+00:00,vibration_rms,,,combined,1.244,
2026-07-26T19:49:31.271411+00:00,temperature,7.419,4.0,combined,,
2026-07-26T19:49:32.519918+00:00,temperature,7.528,4.0,combined,,
2026-07-26T19:49:32.519918+00:00,vibration_rms,,,combined,1.064,
2026-07-26T19:49:33.927102+00:00,temperature,7.424,4.0,combined,,
2026-07-26T19:49:35.149999+00:00,temperature,8.082,4.0,combined,,
2026-07-26T19:49:35.149999+00:00,vibration_rms,,,combined,0.953,
2026-07-26T19:49:36.433268+00:00,temperature,7.944,4.0,combined,,
2026-07-26T19:49:37.595765+00:00,temperature,7.767,4.0,combined,,
2026-07-26T19:49:37.595765+00:00,vibration_rms,,,combined,1.146,
2026-07-26T19:49:38.851080+00:00,temperature,7.605,4.0,combined,,
2026-07-26T19:49:40.053498+00:00,temperature,8.352,4.0,combined,,
2026-07-26T19:49:40.053498+00:00,vibration_rms,,,combined,1.167,
2026-07-26T19:49:41.374653+00:00,temperature,8.371,4.0,combined,,
2026-07-26T19:49:42.584670+00:00,temperature,7.549,4.0,combined,,
2026-07-26T19:49:42.584670+00:00,vibration_rms,,,combined,1.332,
2026-07-26T19:49:43.862226+00:00,temperature,8.491,4.0,combined,,
2026-07-26T19:49:45.015726+00:00,temperature,8.317,4.0,combined,,
2026-07-26T19:49:45.015726+00:00,vibration_rms,,,combined,1.34,
2026-07-26T19:49:46.329775+00:00,temperature,8.465,4.0,combined,,
2026-07-26T19:49:47.494155+00:00,temperature,8.621,4.0,combined,,
2026-07-26T19:49:47.494155+00:00,vibration_rms,,,combined,1.129,
2026-07-26T19:49:48.772305+00:00,temperature,8.35,4.0,combined,,
2026-07-26T19:49:49.920171+00:00,temperature,8.734,4.0,combined,,
2026-07-26T19:49:49.920171+00:00,vibration_rms,,,combined,1.212,
2026-07-26T19:49:49.920171+00:00,door_event,,,combined,,CLOSE
2026-07-26T19:49:51.254899+00:00,temperature,9.044,4.0,combined,,
2026-07-26T19:49:52.416441+00:00,temperature,8.967,4.0,combined,,
2026-07-26T19:49:52.416441+00:00,vibration_rms,,,combined,1.284,
2026-07-26T19:49:53.673720+00:00,temperature,9.19,4.0,combined,,
2026-07-26T19:49:54.828348+00:00,temperature,8.648,4.0,combined,,
2026-07-26T19:49:54.828348+00:00,vibration_rms,,,combined,1.162,
2026-07-26T19:49:56.128718+00:00,temperature,9.716,4.0,combined,,
2026-07-26T19:49:57.352826+00:00,temperature,9.049,4.0,combined,,
2026-07-26T19:49:57.352826+00:00,vibration_rms,,,combined,1.389,
2026-07-26T19:49:58.652101+00:00,temperature,8.418,4.0,combined,,
2026-07-26T19:49:59.795165+00:00,temperature,9.661,4.0,combined,,
2026-07-26T19:49:59.795165+00:00,vibration_rms,,,combined,1.434,
2026-07-26T19:50:01.071720+00:00,temperature,9.791,4.0,combined,,
2026-07-26T19:50:01.071720+00:00,door_event,,,combined,,OPEN
2026-07-26T19:50:02.252207+00:00,temperature,9.338,4.0,combined,,
2026-07-26T19:50:02.252207+00:00,vibration_rms,,,combined,1.46,
2026-07-26T19:50:03.554682+00:00,temperature,9.62,4.0,combined,,
2026-07-26T19:50:04.717259+00:00,temperature,9.207,4.0,combined,,
2026-07-26T19:50:04.717259+00:00,vibration_rms,,,combined,1.346,
2026-07-26T19:50:05.971565+00:00,temperature,9.005,4.0,combined,,
2026-07-26T19:50:07.127993+00:00,temperature,9.734,4.0,combined,,
2026-07-26T19:50:07.127993+00:00,vibration_rms,,,combined,1.353,
2026-07-26T19:50:08.395126+00:00,temperature,9.641,4.0,combined,,
2026-07-26T19:50:09.556958+00:00,temperature,9.608,4.0,combined,,
2026-07-26T19:50:09.556958+00:00,vibration_rms,,,combined,1.218,
2026-07-26T19:50:10.890376+00:00,temperature,9.646,4.0,combined,,
2026-07-26T19:50:12.086666+00:00,temperature,10.041,4.0,combined,,
2026-07-26T19:50:12.086666+00:00,vibration_rms,,,combined,0.997,
2026-07-26T19:50:13.408997+00:00,temperature,10.292,4.0,combined,,
2026-07-26T19:50:14.574226+00:00,temperature,9.971,4.0,combined,,
2026-07-26T19:50:14.574226+00:00,vibration_rms,,,combined,1.086,
2026-07-26T19:50:15.861498+00:00,temperature,10.54,4.0,combined,,
2026-07-26T19:50:17.073079+00:00,temperature,10.24,4.0,combined,,
2026-07-26T19:50:17.073079+00:00,vibration_rms,,,combined,1.174,
2026-07-26T19:50:17.073079+00:00,door_event,,,combined,,OPEN
2026-07-26T19:50:18.512509+00:00,temperature,10.42,4.0,combined,,
2026-07-26T19:50:19.684104+00:00,temperature,10.443,4.0,combined,,
2026-07-26T19:50:19.684104+00:00,vibration_rms,,,combined,0.942,
2026-07-26T19:50:21.098705+00:00,temperature,10.75,4.0,combined,,
2026-07-26T19:50:22.309390+00:00,temperature,10.191,4.0,combined,,
2026-07-26T19:50:22.309390+00:00,vibration_rms,,,combined,0.976,
2026-07-26T19:50:23.718095+00:00,temperature,10.909,4.0,combined,,
2026-07-26T19:50:24.945951+00:00,temperature,11.088,4.0,combined,,
2026-07-26T19:50:24.945951+00:00,vibration_rms,,,combined,1.275,
2026-07-26T19:50:26.344362+00:00,temperature,10.512,4.0,combined,,
2026-07-26T19:50:27.546317+00:00,temperature,10.382,4.0,combined,,
2026-07-26T19:50:27.546317+00:00,vibration_rms,,,combined,1.363,
2026-07-26T19:50:28.932585+00:00,temperature,11.47,4.0,combined,,
2026-07-26T19:50:30.179619+00:00,temperature,11.179,4.0,combined,,
2026-07-26T19:50:30.179619+00:00,vibration_rms,,,combined,1.226,
2026-07-26T19:50:31.572886+00:00,temperature,11.101,4.0,combined,,
2026-07-26T19:50:32.776105+00:00,temperature,10.977,4.0,combined,,
