temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis,label
4.96112,0.84698886,2.238,0.4134824,0.4734,4.0648427,1
43.421474,4.9499764,2.5568008,0.41829908,0.46899998,4.438983,1
51.805298,5.8984036,2.6552002,1.1421902,1.2866,4.5473228,2
82.49072,9.359405,2.7267976,0.4396728,0.5054,4.013304,1
83.985,9.4810095,2.5987976,1.1320169,1.2518001,3.9696052,2
47.154446,5.3298464,2.9424012,0.40186945,0.4512,3.9711633,1
12.61464,1.5571373,2.5740001,0.41958672,0.4736,4.322175,1
3.8246,0.4664052,-0.38200006,0.42043537,0.469,4.3391986,0
24.06818,2.7213063,2.4043999,1.1274356,1.3105999,3.8947058,2
84.80854,9.579046,2.7675996,1.1109673,1.2512001,4.077827,2
77.88085,8.809678,2.2891998,1.1464994,1.3408,3.5877655,2
61.796448,6.973509,2.2228012,1.0655369,1.1942,4.404878,2
3.8424933,0.41665614,-0.204,0.427399,0.475,4.3417716,0
51.007385,5.77591,2.9827988,1.1264613,1.2866,3.5823762,2
18.746586,2.2523298,2.9472008,0.40323845,0.4564,4.052969,1
3.8388267,0.4108676,-0.0048001288,0.40701196,0.4496,4.700956,0
8.814306,1.1535009,2.3132005,0.43288577,0.4832,4.0753107,1
10.949186,1.424933,2.9459999,1.1284353,1.3072,3.326999,2
95.62405,10.796666,2.263202,1.1242166,1.3136,4.373356,2
3.8440533,0.4631691,0.12320004,0.4318981,0.493,3.9841669,0
17.16218,2.0335033,2.4127998,0.4105328,0.4642,3.9922128,1
3.8402333,0.43657425,-0.31559992,0.40529263,0.453,4.4828134,0
56.350807,6.349452,2.6068008,1.1288724,1.2804,3.414724,2
3.8093467,0.4314506,-0.10760002,0.39893803,0.4588,3.8421278,0
60.259594,6.7784114,2.1883957,0.4183796,0.477,4.376394,1
94.85046,10.731365,2.7304015,1.0699826,1.1864,4.3345656,2
6.5182934,0.969673,2.6812005,0.41154468,0.4524,4.1757417,1
97.9028,11.096692,2.535199,1.1483092,1.3294,3.6041334,2
92.53748,10.453761,2.4895966,1.1543504,1.341,3.377328,2
56.39252,6.3495607,2.1432006,0.42907077,0.4764,4.128516,1
3.85146,0.4124186,-0.017199898,0.40383264,0.48700002,4.0877686,0
3.77022,0.49288255,0.45240003,0.42116413,0.47959998,4.6122823,0
27.183126,3.1386235,2.551599,0.43239063,0.485,4.4281507,1
