temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis,label
18.106466,2.1334245,2.6783996,1.1081396,1.2908,3.742,2
14.92614,1.7942395,2.8848,1.0990403,1.2608,3.6284835,2
3.8482866,0.4354547,0.31480017,0.43835863,0.4976,4.164451,0
63.291573,7.167405,2.992801,0.40204513,0.448,4.7304363,1
3.8449266,0.44349402,-0.029600048,0.4209879,0.4816,3.8396773,0
3.8246999,0.48210862,0.296,0.41518727,0.4858,4.3718233,0
99.30335,11.222359,3.1764007,1.1247536,1.2636,4.6505785,2
3.8342466,0.4643443,-0.059600066,0.4101907,0.4646,4.531526,0
74.0622,8.411076,2.7023988,0.40585867,0.4664,4.4841127,1
3.7573333,0.42263746,-0.24720001,0.4344371,0.4846,4.169165,0
3.9092867,0.44063047,0.23040009,0.40187624,0.4666,4.1657686,0
77.23841,8.743442,2.2895997,1.1006691,1.2132,4.3316503,2
3.9123533,0.4735188,-0.10599995,0.41931847,0.4664,4.333402,0
3.8746,0.4479044,-0.047200106,0.4252765,0.4776,4.044875,0
3.91986,0.51164806,-0.47400028,0.42654458,0.4988,4.1508255,0
3.9391134,0.43421504,-0.33879995,0.4212906,0.474,5.0855308,0
97.05944,10.946298,2.340802,0.43405703,0.49379998,4.039176,1
11.780927,1.4529573,2.3728,1.1101751,1.325,3.5140135,2
79.47412,9.037399,2.6563995,0.42160138,0.4628,4.4956894,1
61.03206,6.9098325,1.9936005,0.40777966,0.4988,3.043622,1
3.8902001,0.45428726,0.038800143,0.42527187,0.477,3.7865489,0
3.8605132,0.4725122,0.12919998,0.42076623,0.4832,4.127937,0
100.91429,11.439361,2.522,1.0695162,1.2198,4.5174274,2
67.233574,7.644579,2.5319977,1.111034,1.3106,3.400781,2
3.81258,0.410185,-0.058000185,0.41015437,0.4582,4.2810545,0
104.77042,11.847671,2.735199,1.1048412,1.2292,4.1907334,2
3.7983334,0.44940373,-0.05,0.43138218,0.5038,3.6791136,0
46.44998,5.2479787,2.3076005,1.0939944,1.3424,2.9336178,2
91.73238,10.323115,2.3511963,1.0930752,1.2224,4.4496512,2
3.76566,0.44146854,-0.02719984,0.42891487,0.4804,3.9667025,0
103.99304,11.776005,3.0276031,1.1065105,1.2452,4.2087874,2
50.28063,5.717371,2.7839997,0.400371,0.4568,4.3344135,1
102.5366,11.585592,2.303601,0.4226406,0.4724,4.264422,1
3.8972466,0.4359408,-0.09640007,0.41423124,0.46920002,4.4564695,0
54.90162,6.2677107,2.0983994,1.157517,1.3074,4.4995947,2
3.8475533,0.42831913,0.09360008,0.42977476,0.5038,4.621762,0
3.8095467,0.48800796,0.12200002,0.41675997,0.47280002,5.184864,0
106.2854,12.013225,2.2215972,1.1108365,1.2414,4.124455,2
