timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-29T17:41:33.312856+00:00,temperature,4.005,4.0,none,,
2026-07-29T17:41:34.654136+00:00,temperature,3.822,4.0,none,,
2026-07-29T17:41:34.654136+00:00,vibration_rms,,,none,0.543,
2026-07-29T17:41:36.109153+00:00,temperature,3.869,4.0,none,,
2026-07-29T17:41:37.376942+00:00,temperature,3.536,4.0,none,,
2026-07-29T17:41:37.376942+00:00,vibration_rms,,,none,0.45,
2026-07-29T17:41:38.765856+00:00,temperature,4.36,4.0,none,,
2026-07-29T17:41:39.963548+00:00,temperature,4.508,4.0,none,,
2026-07-29T17:41:39.963548+00:00,vibration_rms,,,none,0.399,
2026-07-29T17:41:41.408458+00:00,temperature,3.54,4.0,none,,
2026-07-29T17:41:42.719085+00:00,temperature,4.24,4.0,none,,
2026-07-29T17:41:42.719085+00:00,vibration_rms,,,none,0.481,
2026-07-29T17:41:44.109051+00:00,temperature,3.667,4.0,none,,
2026-07-29T17:41:45.393325+00:00,temperature,3.654,4.0,none,,
2026-07-29T17:41:45.393325+00:00,vibration_rms,,,none,0.483,
2026-07-29T17:41:46.809121+00:00,temperature,4.199,4.0,none,,
2026-07-29T17:41:48.053147+00:00,temperature,3.691,4.0,none,,
2026-07-29T17:41:48.053147+00:00,vibration_rms,,,none,0.462,
2026-07-29T17:41:49.509407+00:00,temperature,3.577,4.0,none,,
2026-07-29T17:41:50.720372+00:00,temperature,3.767,4.0,none,,
2026-07-29T17:41:50.720372+00:00,vibration_rms,,,none,0.482,
2026-07-29T17:41:52.220285+00:00,temperature,4.391,4.0,none,,
2026-07-29T17:41:53.442541+00:00,temperature,4.227,4.0,none,,
2026-07-29T17:41:53.442541+00:00,vibration_rms,,,none,0.469,
2026-07-29T17:41:55.011170+00:00,temperature,3.995,4.0,none,,
2026-07-29T17:41:56.253953+00:00,temperature,3.364,4.0,none,,
2026-07-29T17:41:56.253953+00:00,vibration_rms,,,none,0.397,
2026-07-29T17:41:57.688121+00:00,temperature,4.157,4.0,none,,
2026-07-29T17:41:59.007946+00:00,temperature,4.129,4.0,none,,
2026-07-29T17:41:59.007946+00:00,vibration_rms,,,none,0.389,
2026-07-29T17:42:00.921712+00:00,temperature,4.487,4.0,none,,
2026-07-29T17:42:02.268628+00:00,temperature,3.426,4.0,none,,
2026-07-29T17:42:02.268628+00:00,vibration_rms,,,none,0.476,
2026-07-29T17:42:03.766106+00:00,temperature,4.029,4.0,none,,
2026-07-29T17:42:05.135302+00:00,temperature,3.397,4.0,none,,
2026-07-29T17:42:05.135302+00:00,vibration_rms,,,none,0.444,
2026-07-29T17:42:06.835548+00:00,temperature,3.774,4.0,none,,
2026-07-29T17:42:08.167582+00:00,temperature,4.076,4.0,none,,
2026-07-29T17:42:08.167582+00:00,vibration_rms,,,none,0.475,
2026-07-29T17:42:09.784018+00:00,temperature,4.395,4.0,none,,
2026-07-29T17:42:09.784018+00:00,door_event,,,none,,CLOSE
2026-07-29T17:42:11.050187+00:00,temperature,4.377,4.0,none,,
2026-07-29T17:42:11.050187+00:00,vibration_rms,,,none,0.422,
2026-07-29T17:42:12.990825+00:00,temperature,4.396,4.0,none,,
2026-07-29T17:42:14.213121+00:00,temperature,3.829,4.0,none,,
2026-07-29T17:42:14.213121+00:00,vibration_rms,,,none,0.46,
2026-07-29T17:42:15.635647+00:00,temperature,3.971,4.0,none,,
2026-07-29T17:42:16.914794+00:00,temperature,4.074,4.0,none,,
