timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-08-08T12:47:36.351322+00:00,temperature,3.759,4.0,none,,
2026-08-08T12:47:37.627052+00:00,temperature,3.538,4.0,none,,
2026-08-08T12:47:37.627052+00:00,vibration_rms,,,none,0.445,
2026-08-08T12:47:37.627052+00:00,door_event,,,none,,CLOSE
2026-08-08T12:47:39.053197+00:00,temperature,4.465,4.0,none,,
2026-08-08T12:47:40.340046+00:00,temperature,4.057,4.0,none,,
2026-08-08T12:47:40.340046+00:00,vibration_rms,,,none,0.457,
2026-08-08T12:47:41.837640+00:00,temperature,3.95,4.0,none,,
2026-08-08T12:47:43.094034+00:00,temperature,3.641,4.0,none,,
2026-08-08T12:47:43.094034+00:00,vibration_rms,,,none,0.364,
2026-08-08T12:47:44.435985+00:00,temperature,4.234,4.0,none,,
2026-08-08T12:47:46.133543+00:00,temperature,3.636,4.0,none,,
2026-08-08T12:47:46.133543+00:00,vibration_rms,,,none,0.48,
2026-08-08T12:47:47.861646+00:00,temperature,3.838,4.0,none,,
2026-08-08T12:47:49.229341+00:00,temperature,3.698,4.0,none,,
2026-08-08T12:47:49.229341+00:00,vibration_rms,,,none,0.493,
2026-08-08T12:47:50.791890+00:00,temperature,4.4,4.0,none,,
2026-08-08T12:47:51.981497+00:00,temperature,3.967,4.0,none,,
2026-08-08T12:47:51.981497+00:00,vibration_rms,,,none,0.47,
2026-08-08T12:47:53.402784+00:00,temperature,4.108,4.0,none,,
2026-08-08T12:47:54.612978+00:00,temperature,4.131,4.0,none,,
2026-08-08T12:47:54.612978+00:00,vibration_rms,,,none,0.514,
2026-08-08T12:47:54.612978+00:00,door_event,,,none,,CLOSE
2026-08-08T12:47:56.158612+00:00,temperature,3.908,4.0,none,,
2026-08-08T12:47:57.325103+00:00,temperature,3.993,4.0,none,,
2026-08-08T12:47:57.325103+00:00,vibration_rms,,,none,0.426,
2026-08-08T12:47:58.769256+00:00,temperature,4.076,4.0,none,,
2026-08-08T12:47:59.911140+00:00,temperature,3.788,4.0,none,,
2026-08-08T12:47:59.911140+00:00,vibration_rms,,,none,0.483,
2026-08-08T12:48:01.449942+00:00,temperature,4.007,4.0,none,,
2026-08-08T12:48:01.449942+00:00,door_event,,,none,,CLOSE
2026-08-08T12:48:02.625756+00:00,temperature,4.347,4.0,none,,
2026-08-08T12:48:02.625756+00:00,vibration_rms,,,none,0.465,
2026-08-08T12:48:04.039335+00:00,temperature,3.956,4.0,none,,
2026-08-08T12:48:05.283538+00:00,temperature,4.086,4.0,none,,
2026-08-08T12:48:05.283538+00:00,vibration_rms,,,none,0.466,
2026-08-08T12:48:06.716733+00:00,temperature,3.853,4.0,none,,
