timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-29T19:25:01.212952+00:00,temperature,4.583,4.0,temp_drift,,
2026-07-29T19:25:02.517314+00:00,temperature,3.826,4.0,temp_drift,,
2026-07-29T19:25:02.517314+00:00,vibration_rms,,,temp_drift,0.459,
2026-07-29T19:25:03.968364+00:00,temperature,4.546,4.0,temp_drift,,
2026-07-29T19:25:05.244311+00:00,temperature,4.219,4.0,temp_drift,,
2026-07-29T19:25:05.244311+00:00,vibration_rms,,,temp_drift,0.416,
2026-07-29T19:25:06.678730+00:00,temperature,4.187,4.0,temp_drift,,
2026-07-29T19:25:07.877763+00:00,temperature,3.961,4.0,temp_drift,,
2026-07-29T19:25:07.877763+00:00,vibration_rms,,,temp_drift,0.449,
2026-07-29T19:25:09.313263+00:00,temperature,4.144,4.0,temp_drift,,
2026-07-29T19:25:10.566518+00:00,temperature,4.88,4.0,temp_drift,,
2026-07-29T19:25:10.566518+00:00,vibration_rms,,,temp_drift,0.491,
2026-07-29T19:25:12.022210+00:00,temperature,4.809,4.0,temp_drift,,
2026-07-29T19:25:13.243585+00:00,temperature,4.974,4.0,temp_drift,,
2026-07-29T19:25:13.243585+00:00,vibration_rms,,,temp_drift,0.445,
2026-07-29T19:25:14.678203+00:00,temperature,4.627,4.0,temp_drift,,
2026-07-29T19:25:15.900500+00:00,temperature,4.509,4.0,temp_drift,,
2026-07-29T19:25:15.900500+00:00,vibration_rms,,,temp_drift,0.41,
2026-07-29T19:25:17.298128+00:00,temperature,4.501,4.0,temp_drift,,
2026-07-29T19:25:18.499960+00:00,temperature,4.535,4.0,temp_drift,,
2026-07-29T19:25:18.499960+00:00,vibration_rms,,,temp_drift,0.429,
2026-07-29T19:25:19.913201+00:00,temperature,4.982,4.0,temp_drift,,
2026-07-29T19:25:21.178978+00:00,temperature,5.154,4.0,temp_drift,,
2026-07-29T19:25:21.178978+00:00,vibration_rms,,,temp_drift,0.491,
2026-07-29T19:25:22.623492+00:00,temperature,5.3,4.0,temp_drift,,
2026-07-29T19:25:23.809844+00:00,temperature,5.06,4.0,temp_drift,,
2026-07-29T19:25:23.809844+00:00,vibration_rms,,,temp_drift,0.487,
2026-07-29T19:25:25.224429+00:00,temperature,5.481,4.0,temp_drift,,
2026-07-29T19:25:26.466002+00:00,temperature,5.393,4.0,temp_drift,,
2026-07-29T19:25:26.466002+00:00,vibration_rms,,,temp_drift,0.426,
2026-07-29T19:25:27.902561+00:00,temperature,5.654,4.0,temp_drift,,
2026-07-29T19:25:29.153951+00:00,temperature,6.299,4.0,temp_drift,,
2026-07-29T19:25:29.153951+00:00,vibration_rms,,,temp_drift,0.416,
2026-07-29T19:25:30.625809+00:00,temperature,6.188,4.0,temp_drift,,
2026-07-29T19:25:31.868049+00:00,temperature,5.756,4.0,temp_drift,,
2026-07-29T19:25:31.868049+00:00,vibration_rms,,,temp_drift,0.443,
2026-07-29T19:25:33.298920+00:00,temperature,6.471,4.0,temp_drift,,
2026-07-29T19:25:34.523684+00:00,temperature,6.376,4.0,temp_drift,,
2026-07-29T19:25:34.523684+00:00,vibration_rms,,,temp_drift,0.505,
2026-07-29T19:25:35.925704+00:00,temperature,6.023,4.0,temp_drift,,
2026-07-29T19:25:37.142530+00:00,temperature,5.709,4.0,temp_drift,,
2026-07-29T19:25:37.142530+00:00,vibration_rms,,,temp_drift,0.524,
2026-07-29T19:25:38.587487+00:00,temperature,5.93,4.0,temp_drift,,
2026-07-29T19:25:39.779885+00:00,temperature,6.73,4.0,temp_drift,,
2026-07-29T19:25:39.779885+00:00,vibration_rms,,,temp_drift,0.388,
2026-07-29T19:25:41.216350+00:00,temperature,6.386,4.0,temp_drift,,
2026-07-29T19:25:42.424921+00:00,temperature,6.784,4.0,temp_drift,,
2026-07-29T19:25:42.424921+00:00,vibration_rms,,,temp_drift,0.515,
2026-07-29T19:25:43.814136+00:00,temperature,6.22,4.0,temp_drift,,
2026-07-29T19:25:45.069505+00:00,temperature,6.683,4.0,temp_drift,,
2026-07-29T19:25:45.069505+00:00,vibration_rms,,,temp_drift,0.493,
2026-07-29T19:25:46.480220+00:00,temperature,6.374,4.0,temp_drift,,
2026-07-29T19:25:47.994807+00:00,temperature,7.14,4.0,temp_drift,,
2026-07-29T19:25:47.994807+00:00,vibration_rms,,,temp_drift,0.475,
2026-07-29T19:25:49.436492+00:00,temperature,6.82,4.0,temp_drift,,
2026-07-29T19:25:50.633883+00:00,temperature,7.041,4.0,temp_drift,,
2026-07-29T19:25:50.633883+00:00,vibration_rms,,,temp_drift,0.473,
2026-07-29T19:25:52.080763+00:00,temperature,6.93,4.0,temp_drift,,
2026-07-29T19:25:53.347060+00:00,temperature,7.29,4.0,temp_drift,,
2026-07-29T19:25:53.347060+00:00,vibration_rms,,,temp_drift,0.503,
2026-07-29T19:25:54.803466+00:00,temperature,7.149,4.0,temp_drift,,
2026-07-29T19:25:56.048041+00:00,temperature,7.532,4.0,temp_drift,,
2026-07-29T19:25:56.048041+00:00,vibration_rms,,,temp_drift,0.485,
2026-07-29T19:25:57.501668+00:00,temperature,7.484,4.0,temp_drift,,
2026-07-29T19:25:58.809761+00:00,temperature,7.577,4.0,temp_drift,,
2026-07-29T19:25:58.809761+00:00,vibration_rms,,,temp_drift,0.518,
2026-07-29T19:26:00.223386+00:00,temperature,7.514,4.0,temp_drift,,
2026-07-29T19:26:01.470382+00:00,temperature,6.833,4.0,temp_drift,,
2026-07-29T19:26:01.470382+00:00,vibration_rms,,,temp_drift,0.43,
2026-07-29T19:26:02.855793+00:00,temperature,7.579,4.0,temp_drift,,
2026-07-29T19:26:02.855793+00:00,door_event,,,temp_drift,,OPEN
2026-07-29T19:26:04.068626+00:00,temperature,7.429,4.0,temp_drift,,
2026-07-29T19:26:04.068626+00:00,vibration_rms,,,temp_drift,0.425,
2026-07-29T19:26:04.068626+00:00,door_event,,,temp_drift,,OPEN
2026-07-29T19:26:05.483532+00:00,temperature,8.024,4.0,temp_drift,,
2026-07-29T19:26:06.726331+00:00,temperature,7.835,4.0,temp_drift,,
2026-07-29T19:26:06.726331+00:00,vibration_rms,,,temp_drift,0.485,
2026-07-29T19:26:08.134324+00:00,temperature,7.642,4.0,temp_drift,,
2026-07-29T19:26:09.370809+00:00,temperature,7.925,4.0,temp_drift,,
2026-07-29T19:26:09.370809+00:00,vibration_rms,,,temp_drift,0.467,
2026-07-29T19:26:10.767702+00:00,temperature,8.129,4.0,temp_drift,,
2026-07-29T19:26:12.026389+00:00,temperature,8.324,4.0,temp_drift,,
2026-07-29T19:26:12.026389+00:00,vibration_rms,,,temp_drift,0.461,
2026-07-29T19:26:13.504055+00:00,temperature,8.379,4.0,temp_drift,,
2026-07-29T19:26:14.726232+00:00,temperature,7.844,4.0,temp_drift,,
2026-07-29T19:26:14.726232+00:00,vibration_rms,,,temp_drift,0.558,
2026-07-29T19:26:14.726232+00:00,door_event,,,temp_drift,,CLOSE
2026-07-29T19:26:16.147561+00:00,temperature,8.382,4.0,temp_drift,,
2026-07-29T19:26:17.381859+00:00,temperature,8.498,4.0,temp_drift,,
2026-07-29T19:26:17.381859+00:00,vibration_rms,,,temp_drift,0.493,
2026-07-29T19:26:18.818092+00:00,temperature,9.077,4.0,temp_drift,,
2026-07-29T19:26:20.016836+00:00,temperature,8.679,4.0,temp_drift,,
2026-07-29T19:26:20.016836+00:00,vibration_rms,,,temp_drift,0.493,
2026-07-29T19:26:21.414370+00:00,temperature,8.962,4.0,temp_drift,,
2026-07-29T19:26:22.714743+00:00,temperature,8.673,4.0,temp_drift,,
2026-07-29T19:26:22.714743+00:00,vibration_rms,,,temp_drift,0.492,
2026-07-29T19:26:24.194887+00:00,temperature,8.966,4.0,temp_drift,,
2026-07-29T19:26:25.427368+00:00,temperature,8.929,4.0,temp_drift,,
2026-07-29T19:26:25.427368+00:00,vibration_rms,,,temp_drift,0.573,
2026-07-29T19:26:26.814309+00:00,temperature,8.555,4.0,temp_drift,,
2026-07-29T19:26:28.039745+00:00,temperature,9.213,4.0,temp_drift,,
2026-07-29T19:26:28.039745+00:00,vibration_rms,,,temp_drift,0.458,
2026-07-29T19:26:29.482808+00:00,temperature,8.975,4.0,temp_drift,,
2026-07-29T19:26:30.695431+00:00,temperature,8.93,4.0,temp_drift,,
2026-07-29T19:26:30.695431+00:00,vibration_rms,,,temp_drift,0.472,
2026-07-29T19:26:32.085827+00:00,temperature,9.376,4.0,temp_drift,,
2026-07-29T19:26:33.349732+00:00,temperature,9.743,4.0,temp_drift,,
2026-07-29T19:26:33.349732+00:00,vibration_rms,,,temp_drift,0.448,
2026-07-29T19:26:34.783631+00:00,temperature,9.665,4.0,temp_drift,,
2026-07-29T19:26:36.050037+00:00,temperature,9.378,4.0,temp_drift,,
2026-07-29T19:26:36.050037+00:00,vibration_rms,,,temp_drift,0.391,
2026-07-29T19:26:37.491526+00:00,temperature,10.013,4.0,temp_drift,,
2026-07-29T19:26:38.727849+00:00,temperature,9.466,4.0,temp_drift,,
2026-07-29T19:26:38.727849+00:00,vibration_rms,,,temp_drift,0.424,
2026-07-29T19:26:40.137262+00:00,temperature,10.27,4.0,temp_drift,,
2026-07-29T19:26:40.137262+00:00,door_event,,,temp_drift,,CLOSE
2026-07-29T19:26:41.351218+00:00,temperature,10.281,4.0,temp_drift,,
2026-07-29T19:26:41.351218+00:00,vibration_rms,,,temp_drift,0.385,
2026-07-29T19:26:42.741946+00:00,temperature,9.358,4.0,temp_drift,,
2026-07-29T19:26:43.953689+00:00,temperature,10.225,4.0,temp_drift,,
2026-07-29T19:26:43.953689+00:00,vibration_rms,,,temp_drift,0.492,
2026-07-29T19:26:45.381671+00:00,temperature,10.492,4.0,temp_drift,,
2026-07-29T19:26:45.381671+00:00,door_event,,,temp_drift,,OPEN
2026-07-29T19:26:46.618698+00:00,temperature,10.697,4.0,temp_drift,,
2026-07-29T19:26:46.618698+00:00,vibration_rms,,,temp_drift,0.451,
2026-07-29T19:26:47.994629+00:00,temperature,10.561,4.0,temp_drift,,
2026-07-29T19:26:49.214988+00:00,temperature,10.692,4.0,temp_drift,,
2026-07-29T19:26:49.214988+00:00,vibration_rms,,,temp_drift,0.441,
2026-07-29T19:26:49.214988+00:00,door_event,,,temp_drift,,CLOSE
2026-07-29T19:26:50.627352+00:00,temperature,10.407,4.0,temp_drift,,
2026-07-29T19:26:51.851158+00:00,temperature,10.07,4.0,temp_drift,,
2026-07-29T19:26:51.851158+00:00,vibration_rms,,,temp_drift,0.477,
2026-07-29T19:26:53.238445+00:00,temperature,10.698,4.0,temp_drift,,
2026-07-29T19:26:54.495809+00:00,temperature,10.8,4.0,temp_drift,,
2026-07-29T19:26:54.495809+00:00,vibration_rms,,,temp_drift,0.414,
2026-07-29T19:26:55.914887+00:00,temperature,10.962,4.0,temp_drift,,
2026-07-29T19:26:57.150713+00:00,temperature,11.367,4.0,temp_drift,,
2026-07-29T19:26:57.150713+00:00,vibration_rms,,,temp_drift,0.408,
2026-07-29T19:26:58.834688+00:00,temperature,11.153,4.0,temp_drift,,
2026-07-29T19:27:00.071255+00:00,temperature,11.605,4.0,temp_drift,,
2026-07-29T19:27:00.071255+00:00,vibration_rms,,,temp_drift,0.449,
2026-07-29T19:27:02.074615+00:00,temperature,11.759,4.0,temp_drift,,
2026-07-29T19:27:03.672222+00:00,temperature,11.209,4.0,temp_drift,,
2026-07-29T19:27:03.672222+00:00,vibration_rms,,,temp_drift,0.443,
2026-07-29T19:27:03.672222+00:00,door_event,,,temp_drift,,CLOSE
2026-07-29T19:27:05.254208+00:00,temperature,11.426,4.0,temp_drift,,
2026-07-29T19:27:06.474145+00:00,temperature,11.329,4.0,temp_drift,,
2026-07-29T19:27:06.474145+00:00,vibration_rms,,,temp_drift,0.43,
2026-07-29T19:27:07.894835+00:00,temperature,11.745,4.0,temp_drift,,
2026-07-29T19:27:09.129694+00:00,temperature,11.291,4.0,temp_drift,,
2026-07-29T19:27:09.129694+00:00,vibration_rms,,,temp_drift,0.415,
2026-07-29T19:27:10.582735+00:00,temperature,11.811,4.0,temp_drift,,
2026-07-29T19:27:11.853871+00:00,temperature,12.046,4.0,temp_drift,,
2026-07-29T19:27:11.853871+00:00,vibration_rms,,,temp_drift,0.415,
2026-07-29T19:27:13.352235+00:00,temperature,11.717,4.0,temp_drift,,
2026-07-29T19:27:14.596019+00:00,temperature,11.767,4.0,temp_drift,,
2026-07-29T19:27:14.596019+00:00,vibration_rms,,,temp_drift,0.522,
2026-07-29T19:27:16.294040+00:00,temperature,12.316,4.0,temp_drift,,
2026-07-29T19:27:17.541347+00:00,temperature,11.867,4.0,temp_drift,,
2026-07-29T19:27:17.541347+00:00,vibration_rms,,,temp_drift,0.513,
2026-07-29T19:27:18.955950+00:00,temperature,12.257,4.0,temp_drift,,
2026-07-29T19:27:20.240471+00:00,temperature,11.961,4.0,temp_drift,,
2026-07-29T19:27:20.240471+00:00,vibration_rms,,,temp_drift,0.457,
2026-07-29T19:27:21.660754+00:00,temperature,12.176,4.0,temp_drift,,
2026-07-29T19:27:22.863496+00:00,temperature,12.859,4.0,temp_drift,,
2026-07-29T19:27:22.863496+00:00,vibration_rms,,,temp_drift,0.426,
2026-07-29T19:27:24.257778+00:00,temperature,12.036,4.0,temp_drift,,
2026-07-29T19:27:25.519621+00:00,temperature,12.808,4.0,temp_drift,,
2026-07-29T19:27:25.519621+00:00,vibration_rms,,,temp_drift,0.484,
2026-07-29T19:27:26.954439+00:00,temperature,12.624,4.0,temp_drift,,
2026-07-29T19:27:28.194605+00:00,temperature,12.863,4.0,temp_drift,,
2026-07-29T19:27:28.194605+00:00,vibration_rms,,,temp_drift,0.459,
2026-07-29T19:27:29.567152+00:00,temperature,12.985,4.0,temp_drift,,
2026-07-29T19:27:30.786847+00:00,temperature,12.732,4.0,temp_drift,,
2026-07-29T19:27:30.786847+00:00,vibration_rms,,,temp_drift,0.438,
2026-07-29T19:27:32.141952+00:00,temperature,12.66,4.0,temp_drift,,
2026-07-29T19:27:33.354601+00:00,temperature,12.918,4.0,temp_drift,,
2026-07-29T19:27:33.354601+00:00,vibration_rms,,,temp_drift,0.371,
2026-07-29T19:27:34.795836+00:00,temperature,12.949,4.0,temp_drift,,
2026-07-29T19:27:36.020630+00:00,temperature,12.877,4.0,temp_drift,,
2026-07-29T19:27:36.020630+00:00,vibration_rms,,,temp_drift,0.511,
2026-07-29T19:27:37.499538+00:00,temperature,13.41,4.0,temp_drift,,
2026-07-29T19:27:38.774992+00:00,temperature,12.576,4.0,temp_drift,,
2026-07-29T19:27:38.774992+00:00,vibration_rms,,,temp_drift,0.388,
2026-07-29T19:27:40.205598+00:00,temperature,13.318,4.0,temp_drift,,
2026-07-29T19:27:41.440014+00:00,temperature,13.474,4.0,temp_drift,,
2026-07-29T19:27:41.440014+00:00,vibration_rms,,,temp_drift,0.482,
2026-07-29T19:27:41.440014+00:00,door_event,,,temp_drift,,OPEN
2026-07-29T19:27:42.862445+00:00,temperature,14.537,4.0,temp_drift,,
2026-07-29T19:27:44.087595+00:00,temperature,13.447,4.0,temp_drift,,
2026-07-29T19:27:44.087595+00:00,vibration_rms,,,temp_drift,0.503,
