temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis,label
11.881173,1.473915,2.6584,1.1495341,1.2974,3.5211585,2
16.490173,1.9296671,2.4064012,1.1617123,1.2852,4.2134542,2
3.8971133,0.44084695,-0.033199977,0.40159714,0.455,4.563037,0
5.7407265,1.028743,2.7283998,1.058282,1.1768,4.426661,2
3.8176801,0.42283157,-0.08960018,0.45165166,0.5254,3.432258,0
15.722301,1.9319654,2.9100006,0.41908908,0.4796,3.5415394,1
3.82522,0.40985236,0.454,0.4249206,0.488,3.8564997,0
3.8361733,0.4673002,0.36079997,0.415745,0.4634,4.2202463,0
7.2566934,1.0794398,3.0272002,0.40182936,0.4694,3.5492628,1
18.76166,2.1831496,2.1152,1.1140574,1.2726,4.7653413,2
15.008106,1.822324,2.2087998,1.1749772,1.3732,4.4178143,2
3.8449934,0.47389817,-0.06000004,0.4369409,0.52279997,3.4233944,0
18.693893,2.1677969,2.7112007,0.41877052,0.4748,3.814278,1
3.8456867,0.45642462,-0.3344001,0.40091482,0.451,4.1019344,0
14.166547,1.7109063,2.7252002,0.42798766,0.4948,3.67423,1
10.310253,1.3585701,2.9243999,1.1068877,1.3058,3.2016997,2
3.90342,0.4507555,-0.17359991,0.43632424,0.498,3.7706218,0
3.8948467,0.47546136,-0.19439992,0.43059343,0.488,4.167076,0
9.55096,1.2040325,2.1908004,1.1405936,1.3964,2.9009001,2
3.7957866,0.4398127,-0.07640009,0.45219293,0.52279997,3.6232808,0
3.80336,0.4522253,-0.17519999,0.44621325,0.5218,3.858816,0
13.446673,1.6404308,2.4812005,0.42862952,0.4948,3.656244,1
3.8435867,0.46478492,-0.2712,0.45741227,0.5254,4.7310414,0
8.13444,1.1499375,2.6028,1.1574867,1.3582,4.4356556,2
3.8487933,0.45035872,-0.27039987,0.41908824,0.4716,4.419855,0
13.377907,1.6351719,2.9308002,1.16482,1.3732,4.602956,2
19.531094,2.2779481,2.3608003,0.42327887,0.4748,4.385473,1
14.158987,1.7568974,2.6727996,1.1642401,1.3732,3.6557074,2
11.894426,1.4917041,2.926,0.40328938,0.451,4.18757,1
11.122927,1.382635,2.4807994,0.40464213,0.4508,3.9777222,1
17.268167,2.0630755,2.5700004,1.1474398,1.2852,4.259237,2
18.03022,2.1242385,2.8443992,1.1168516,1.2466,3.5350094,2
3.7725933,0.4638436,-0.019200038,0.41311342,0.4702,4.599952,0
8.83842,1.1914989,2.7556002,0.40194753,0.4544,3.8137681,1
8.08052,1.0651951,2.4240003,0.4118118,0.4694,3.971139,1
6.4268465,1.0445442,2.9224,0.39262256,0.43919998,4.103964,1
7.38898,1.0063695,2.6592,1.0716499,1.2594,4.102894,2
3.80092,0.4402268,0.16639996,0.4184618,0.4634,4.035716,0
12.674787,1.5965477,2.8708005,0.41110063,0.4632,5.228351,1
15.754173,1.8940444,2.3596005,1.153729,1.2852,4.082771,2
6.5870132,0.98353654,2.5792003,1.0429596,1.1768,4.365624,2
16.539646,2.0198972,2.7744,0.41324797,0.4796,4.2161736,1
10.389493,1.323535,2.6172001,0.40285772,0.4508,3.8932142,1
4.89992,0.86538684,2.2976,1.1070592,1.2754,4.2450743,2
8.840094,1.1426904,2.5359998,1.1828539,1.3964,3.4933503,2
3.8813133,0.473802,0.25439996,0.39433023,0.441,4.1191254,0
3.7783535,0.40715218,0.45960015,0.4076878,0.4496,4.2686605,0
3.9398732,0.45546937,0.31199998,0.41343197,0.4784,4.199567,0
19.535326,2.2950332,2.9868004,1.1168622,1.3226,3.2866924,2
17.997246,2.1266122,2.3455994,0.40881732,0.45999998,4.738668,1
14.867507,1.7772443,2.8248,0.42344236,0.4792,4.571189,1
5.64606,0.80659026,1.9383999,0.3991983,0.4508,3.9573543,1
12.592607,1.5490597,2.2096,1.1374664,1.2974,4.3965445,2
3.79406,0.44839266,-0.44400024,0.41696346,0.46199998,4.5566907,0
4.9368334,0.8054597,2.4688,0.4126353,0.4792,4.4456964,1
3.9158533,0.46840948,-0.01960001,0.4205232,0.4716,4.4770737,0
20.330954,2.4152853,2.581601,1.1241503,1.3226,3.9047697,2
3.7834666,0.4471107,0.07200012,0.40959445,0.4496,4.3612876,0
3.8099532,0.42827728,-0.2052002,0.44086322,0.5054,4.7997084,0
20.345066,2.3844566,2.7464004,0.40547404,0.4596,4.0729904,1
3.8114333,0.44699007,-0.52279997,0.3981031,0.45,4.405513,0
9.623453,1.2749063,2.8368003,0.39851314,0.447,4.1290402,1
11.104,1.4035227,2.6663997,1.1680852,1.3058,4.2899346,2
17.268908,2.0315855,2.1659997,0.3999409,0.4416,4.079507,1
