timestamp,sensor,value_c,setpoint_c,anomaly_mode,event,value_g
2026-07-26T13:12:04.310506+00:00,temperature,3.829,4.0,none,,
2026-07-26T13:12:04.310506+00:00,door_event,,,none,CLOSE,
2026-07-26T13:12:08.287735+00:00,temperature,3.823,4.0,none,,
2026-07-26T13:12:08.287735+00:00,vibration_rms,,,none,,0.486
2026-07-26T13:12:11.346076+00:00,temperature,4.496,4.0,none,,
2026-07-26T13:12:12.696943+00:00,temperature,4.218,4.0,none,,
2026-07-26T13:12:12.696943+00:00,vibration_rms,,,none,,0.424
2026-07-26T13:12:16.071724+00:00,temperature,3.997,4.0,none,,
2026-07-26T13:12:17.510324+00:00,temperature,3.694,4.0,none,,
2026-07-26T13:12:17.510324+00:00,vibration_rms,,,none,,0.464
2026-07-26T13:12:20.307874+00:00,temperature,4.148,4.0,none,,
2026-07-26T13:12:21.613925+00:00,temperature,4.141,4.0,none,,
2026-07-26T13:12:21.613925+00:00,vibration_rms,,,none,,0.503
2026-07-26T13:12:23.202944+00:00,temperature,4.088,4.0,none,,
2026-07-26T13:12:24.677903+00:00,temperature,3.675,4.0,none,,
2026-07-26T13:12:24.677903+00:00,vibration_rms,,,none,,0.46
2026-07-26T13:12:26.336391+00:00,temperature,4.338,4.0,none,,
2026-07-26T13:12:27.693884+00:00,temperature,4.289,4.0,none,,
2026-07-26T13:12:27.693884+00:00,vibration_rms,,,none,,0.441
2026-07-26T13:12:29.587849+00:00,temperature,3.762,4.0,none,,
2026-07-26T13:12:31.000681+00:00,temperature,4.029,4.0,none,,
2026-07-26T13:12:31.000681+00:00,vibration_rms,,,none,,0.55
2026-07-26T13:12:32.858620+00:00,temperature,4.075,4.0,none,,
2026-07-26T13:12:34.713103+00:00,temperature,4.03,4.0,none,,
2026-07-26T13:12:34.713103+00:00,vibration_rms,,,none,,0.46
2026-07-26T13:12:36.524345+00:00,temperature,3.768,4.0,none,,
2026-07-26T13:12:37.895833+00:00,temperature,3.714,4.0,none,,
2026-07-26T13:12:37.895833+00:00,vibration_rms,,,none,,0.484
2026-07-26T13:12:39.645986+00:00,temperature,3.516,4.0,none,,
2026-07-26T13:12:41.032950+00:00,temperature,3.811,4.0,none,,
2026-07-26T13:12:41.032950+00:00,vibration_rms,,,none,,0.474
2026-07-26T13:12:42.790148+00:00,temperature,4.275,4.0,none,,
2026-07-26T13:12:44.066124+00:00,temperature,4.115,4.0,none,,
2026-07-26T13:12:44.066124+00:00,vibration_rms,,,none,,0.41
2026-07-26T13:12:45.651646+00:00,temperature,4.104,4.0,none,,
2026-07-26T13:12:45.651646+00:00,door_event,,,none,OPEN,
2026-07-26T13:12:47.022617+00:00,temperature,3.939,4.0,none,,
2026-07-26T13:12:47.022617+00:00,vibration_rms,,,none,,0.464
2026-07-26T13:12:48.613656+00:00,temperature,3.74,4.0,none,,
2026-07-26T13:12:49.879124+00:00,temperature,3.902,4.0,none,,
2026-07-26T13:12:49.879124+00:00,vibration_rms,,,none,,0.442
2026-07-26T13:12:51.452799+00:00,temperature,3.622,4.0,none,,
2026-07-26T13:12:52.809563+00:00,temperature,4.484,4.0,none,,
2026-07-26T13:12:52.809563+00:00,vibration_rms,,,none,,0.492
2026-07-26T13:12:54.550478+00:00,temperature,3.826,4.0,none,,
2026-07-26T13:12:56.154536+00:00,temperature,4.341,4.0,none,,
2026-07-26T13:12:56.154536+00:00,vibration_rms,,,none,,0.462
2026-07-26T13:12:58.265647+00:00,temperature,4.549,4.0,none,,
2026-07-26T13:12:59.722883+00:00,temperature,4.369,4.0,none,,
2026-07-26T13:12:59.722883+00:00,vibration_rms,,,none,,0.467
2026-07-26T13:13:01.614710+00:00,temperature,3.726,4.0,none,,
2026-07-26T13:13:02.985125+00:00,temperature,3.657,4.0,none,,
2026-07-26T13:13:02.985125+00:00,vibration_rms,,,none,,0.38
2026-07-26T13:13:05.307681+00:00,temperature,3.94,4.0,none,,
2026-07-26T13:13:05.307681+00:00,door_event,,,none,OPEN,
2026-07-26T13:13:06.751818+00:00,temperature,4.056,4.0,none,,
2026-07-26T13:13:06.751818+00:00,vibration_rms,,,none,,0.391
2026-07-26T13:13:09.207922+00:00,temperature,4.18,4.0,none,,
2026-07-26T13:13:10.962626+00:00,temperature,4.278,4.0,none,,
2026-07-26T13:13:10.962626+00:00,vibration_rms,,,none,,0.451
2026-07-26T13:13:12.708355+00:00,temperature,4.952,4.0,none,,
2026-07-26T13:13:14.017661+00:00,temperature,3.74,4.0,none,,
2026-07-26T13:13:14.017661+00:00,vibration_rms,,,none,,0.466
2026-07-26T13:13:15.742838+00:00,temperature,3.777,4.0,none,,
2026-07-26T13:13:17.434185+00:00,temperature,3.998,4.0,none,,
2026-07-26T13:13:17.434185+00:00,vibration_rms,,,none,,0.545
2026-07-26T13:13:19.560854+00:00,temperature,3.91,4.0,none,,
2026-07-26T13:13:21.288774+00:00,temperature,4.477,4.0,none,,
2026-07-26T13:13:21.288774+00:00,vibration_rms,,,none,,0.463
2026-07-26T13:13:23.048113+00:00,temperature,4.097,4.0,none,,
2026-07-26T13:13:25.051610+00:00,temperature,4.134,4.0,none,,
2026-07-26T13:13:25.051610+00:00,vibration_rms,,,none,,0.421
2026-07-26T13:13:27.626228+00:00,temperature,3.902,4.0,none,,
2026-07-26T13:13:29.467143+00:00,temperature,3.622,4.0,none,,
2026-07-26T13:13:29.467143+00:00,vibration_rms,,,none,,0.439
2026-07-26T13:13:31.067799+00:00,temperature,4.001,4.0,none,,
2026-07-26T13:13:32.346785+00:00,temperature,3.805,4.0,none,,
2026-07-26T13:13:32.346785+00:00,vibration_rms,,,none,,0.412
2026-07-26T13:13:33.886071+00:00,temperature,3.911,4.0,none,,
2026-07-26T13:13:35.263711+00:00,temperature,4.283,4.0,none,,
2026-07-26T13:13:35.263711+00:00,vibration_rms,,,none,,0.533
2026-07-26T13:13:37.030057+00:00,temperature,4.323,4.0,none,,
2026-07-26T13:13:38.497846+00:00,temperature,4.01,4.0,none,,
2026-07-26T13:13:38.497846+00:00,vibration_rms,,,none,,0.396
2026-07-26T13:13:40.178295+00:00,temperature,3.59,4.0,none,,
2026-07-26T13:13:41.714802+00:00,temperature,4.405,4.0,none,,
2026-07-26T13:13:41.714802+00:00,vibration_rms,,,none,,0.428
2026-07-26T13:13:43.263258+00:00,temperature,3.661,4.0,none,,
2026-07-26T13:13:44.609742+00:00,temperature,4.078,4.0,none,,
2026-07-26T13:13:44.609742+00:00,vibration_rms,,,none,,0.378
2026-07-26T13:13:46.793040+00:00,temperature,4.174,4.0,none,,
2026-07-26T13:13:48.116797+00:00,temperature,3.92,4.0,none,,
2026-07-26T13:13:48.116797+00:00,vibration_rms,,,none,,0.449
2026-07-26T13:13:50.658366+00:00,temperature,4.298,4.0,none,,
2026-07-26T13:13:52.451427+00:00,temperature,3.976,4.0,none,,
2026-07-26T13:13:52.451427+00:00,vibration_rms,,,none,,0.43
2026-07-26T13:13:54.169034+00:00,temperature,3.894,4.0,none,,
2026-07-26T13:13:55.417749+00:00,temperature,4.444,4.0,none,,
2026-07-26T13:13:55.417749+00:00,vibration_rms,,,none,,0.5
2026-07-26T13:13:56.858743+00:00,temperature,3.989,4.0,none,,
2026-07-26T13:13:58.019941+00:00,temperature,4.104,4.0,none,,
2026-07-26T13:13:58.019941+00:00,vibration_rms,,,none,,0.49
2026-07-26T13:13:59.594276+00:00,temperature,4.105,4.0,none,,
2026-07-26T13:14:00.888805+00:00,temperature,3.894,4.0,none,,
2026-07-26T13:14:00.888805+00:00,vibration_rms,,,none,,0.466
2026-07-26T13:14:02.444852+00:00,temperature,4.131,4.0,none,,
2026-07-26T13:14:03.756180+00:00,temperature,4.253,4.0,none,,
2026-07-26T13:14:03.756180+00:00,vibration_rms,,,none,,0.487
2026-07-26T13:14:05.520302+00:00,temperature,3.618,4.0,none,,
2026-07-26T13:14:06.762777+00:00,temperature,4.082,4.0,none,,
2026-07-26T13:14:06.762777+00:00,vibration_rms,,,none,,0.454
2026-07-26T13:14:08.351535+00:00,temperature,3.433,4.0,none,,
2026-07-26T13:14:09.614098+00:00,temperature,3.717,4.0,none,,
2026-07-26T13:14:09.614098+00:00,vibration_rms,,,none,,0.519
2026-07-26T13:14:11.186507+00:00,temperature,4.73,4.0,none,,
2026-07-26T13:14:11.186507+00:00,door_event,,,none,OPEN,
