timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-08-08T18:00:23.372693+00:00,temperature,4.118,4.0,combined,,
2026-08-08T18:00:24.741532+00:00,temperature,3.984,4.0,combined,,
2026-08-08T18:00:24.741532+00:00,vibration_rms,,,combined,1.226,
2026-08-08T18:00:26.320346+00:00,temperature,3.684,4.0,combined,,
2026-08-08T18:00:27.630854+00:00,temperature,4.486,4.0,combined,,
2026-08-08T18:00:27.630854+00:00,vibration_rms,,,combined,0.922,
2026-08-08T18:00:29.131752+00:00,temperature,4.448,4.0,combined,,
2026-08-08T18:00:29.131752+00:00,door_event,,,combined,,CLOSE
2026-08-08T18:00:30.382957+00:00,temperature,4.214,4.0,combined,,
2026-08-08T18:00:30.382957+00:00,vibration_rms,,,combined,1.345,
2026-08-08T18:00:31.754372+00:00,temperature,4.496,4.0,combined,,
2026-08-08T18:00:32.953117+00:00,temperature,4.695,4.0,combined,,
2026-08-08T18:00:32.953117+00:00,vibration_rms,,,combined,1.168,
2026-08-08T18:00:34.319419+00:00,temperature,4.663,4.0,combined,,
2026-08-08T18:00:35.569957+00:00,temperature,5.317,4.0,combined,,
2026-08-08T18:00:35.569957+00:00,vibration_rms,,,combined,1.227,
2026-08-08T18:00:37.006923+00:00,temperature,4.591,4.0,combined,,
2026-08-08T18:00:38.207155+00:00,temperature,4.507,4.0,combined,,
2026-08-08T18:00:38.207155+00:00,vibration_rms,,,combined,1.34,
2026-08-08T18:00:39.715182+00:00,temperature,5.16,4.0,combined,,
2026-08-08T18:00:40.983218+00:00,temperature,4.868,4.0,combined,,
2026-08-08T18:00:40.983218+00:00,vibration_rms,,,combined,1.309,
2026-08-08T18:00:42.373985+00:00,temperature,5.313,4.0,combined,,
2026-08-08T18:00:43.584820+00:00,temperature,5.808,4.0,combined,,
2026-08-08T18:00:43.584820+00:00,vibration_rms,,,combined,1.138,
2026-08-08T18:00:44.985024+00:00,temperature,5.101,4.0,combined,,
2026-08-08T18:00:46.265230+00:00,temperature,5.402,4.0,combined,,
2026-08-08T18:00:46.265230+00:00,vibration_rms,,,combined,1.266,
2026-08-08T18:00:47.669982+00:00,temperature,5.399,4.0,combined,,
2026-08-08T18:00:48.938037+00:00,temperature,5.251,4.0,combined,,
2026-08-08T18:00:48.938037+00:00,vibration_rms,,,combined,1.024,
2026-08-08T18:00:50.330457+00:00,temperature,5.144,4.0,combined,,
2026-08-08T18:00:51.561093+00:00,temperature,6.019,4.0,combined,,
2026-08-08T18:00:51.561093+00:00,vibration_rms,,,combined,1.321,
2026-08-08T18:00:53.082322+00:00,temperature,5.695,4.0,combined,,
2026-08-08T18:00:54.274421+00:00,temperature,5.904,4.0,combined,,
2026-08-08T18:00:54.274421+00:00,vibration_rms,,,combined,1.208,
2026-08-08T18:00:55.783247+00:00,temperature,5.735,4.0,combined,,
2026-08-08T18:00:56.964004+00:00,temperature,6.504,4.0,combined,,
2026-08-08T18:00:56.964004+00:00,vibration_rms,,,combined,1.171,
2026-08-08T18:00:58.339908+00:00,temperature,5.906,4.0,combined,,
2026-08-08T18:00:59.633481+00:00,temperature,6.054,4.0,combined,,
2026-08-08T18:00:59.633481+00:00,vibration_rms,,,combined,1.019,
2026-08-08T18:01:01.039123+00:00,temperature,6.822,4.0,combined,,
2026-08-08T18:01:02.254103+00:00,temperature,6.281,4.0,combined,,
2026-08-08T18:01:02.254103+00:00,vibration_rms,,,combined,1.251,
2026-08-08T18:01:03.639557+00:00,temperature,6.575,4.0,combined,,
2026-08-08T18:01:04.841346+00:00,temperature,6.668,4.0,combined,,
2026-08-08T18:01:04.841346+00:00,vibration_rms,,,combined,1.258,
2026-08-08T18:01:06.264827+00:00,temperature,5.971,4.0,combined,,
2026-08-08T18:01:07.461106+00:00,temperature,6.463,4.0,combined,,
2026-08-08T18:01:07.461106+00:00,vibration_rms,,,combined,1.109,
2026-08-08T18:01:08.985420+00:00,temperature,6.736,4.0,combined,,
2026-08-08T18:01:10.241405+00:00,temperature,6.356,4.0,combined,,
2026-08-08T18:01:10.241405+00:00,vibration_rms,,,combined,1.241,
2026-08-08T18:01:11.665675+00:00,temperature,7.134,4.0,combined,,
2026-08-08T18:01:12.875985+00:00,temperature,7.254,4.0,combined,,
2026-08-08T18:01:12.875985+00:00,vibration_rms,,,combined,1.102,
2026-08-08T18:01:14.255665+00:00,temperature,6.866,4.0,combined,,
2026-08-08T18:01:15.461950+00:00,temperature,6.957,4.0,combined,,
2026-08-08T18:01:15.461950+00:00,vibration_rms,,,combined,1.481,
2026-08-08T18:01:16.865030+00:00,temperature,7.423,4.0,combined,,
2026-08-08T18:01:18.062850+00:00,temperature,7.163,4.0,combined,,
2026-08-08T18:01:18.062850+00:00,vibration_rms,,,combined,1.261,
2026-08-08T18:01:19.510567+00:00,temperature,6.863,4.0,combined,,
2026-08-08T18:01:20.745099+00:00,temperature,7.765,4.0,combined,,
2026-08-08T18:01:20.745099+00:00,vibration_rms,,,combined,0.774,
2026-08-08T18:01:22.111581+00:00,temperature,7.913,4.0,combined,,
2026-08-08T18:01:23.329723+00:00,temperature,7.492,4.0,combined,,
2026-08-08T18:01:23.329723+00:00,vibration_rms,,,combined,1.236,
2026-08-08T18:01:24.766615+00:00,temperature,7.784,4.0,combined,,
2026-08-08T18:01:25.982695+00:00,temperature,8.111,4.0,combined,,
2026-08-08T18:01:25.982695+00:00,vibration_rms,,,combined,1.203,
2026-08-08T18:01:27.365413+00:00,temperature,7.92,4.0,combined,,
2026-08-08T18:01:28.651278+00:00,temperature,7.708,4.0,combined,,
2026-08-08T18:01:28.651278+00:00,vibration_rms,,,combined,1.238,
2026-08-08T18:01:30.075472+00:00,temperature,8.344,4.0,combined,,
2026-08-08T18:01:31.341649+00:00,temperature,8.309,4.0,combined,,
2026-08-08T18:01:31.341649+00:00,vibration_rms,,,combined,0.984,
2026-08-08T18:01:32.743210+00:00,temperature,8.527,4.0,combined,,
2026-08-08T18:01:33.942696+00:00,temperature,8.233,4.0,combined,,
2026-08-08T18:01:33.942696+00:00,vibration_rms,,,combined,1.11,
2026-08-08T18:01:35.356503+00:00,temperature,8.53,4.0,combined,,
