timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-26T19:25:31.675453+00:00,temperature,3.895,4.0,none,,
2026-07-26T19:25:32.975214+00:00,temperature,4.3,4.0,none,,
2026-07-26T19:25:32.975214+00:00,vibration_rms,,,none,0.472,
2026-07-26T19:25:34.995430+00:00,temperature,4.199,4.0,none,,
2026-07-26T19:25:36.603425+00:00,temperature,4.37,4.0,none,,
2026-07-26T19:25:36.603425+00:00,vibration_rms,,,none,0.472,
2026-07-26T19:25:38.083514+00:00,temperature,4.049,4.0,none,,
2026-07-26T19:25:39.283945+00:00,temperature,4.161,4.0,none,,
2026-07-26T19:25:39.283945+00:00,vibration_rms,,,none,0.403,
2026-07-26T19:25:40.772430+00:00,temperature,4.133,4.0,none,,
2026-07-26T19:25:42.104486+00:00,temperature,4.028,4.0,none,,
2026-07-26T19:25:42.104486+00:00,vibration_rms,,,none,0.477,
2026-07-26T19:25:43.517658+00:00,temperature,4.218,4.0,none,,
2026-07-26T19:25:44.773060+00:00,temperature,4.056,4.0,none,,
2026-07-26T19:25:44.773060+00:00,vibration_rms,,,none,0.451,
2026-07-26T19:25:46.306504+00:00,temperature,4.069,4.0,none,,
2026-07-26T19:25:47.493663+00:00,temperature,3.736,4.0,none,,
2026-07-26T19:25:47.493663+00:00,vibration_rms,,,none,0.457,
2026-07-26T19:25:48.796306+00:00,temperature,3.644,4.0,none,,
2026-07-26T19:25:49.937027+00:00,temperature,4.124,4.0,none,,
2026-07-26T19:25:49.937027+00:00,vibration_rms,,,none,0.374,
2026-07-26T19:25:51.276318+00:00,temperature,3.95,4.0,none,,
2026-07-26T19:25:52.449267+00:00,temperature,4.144,4.0,none,,
2026-07-26T19:25:52.449267+00:00,vibration_rms,,,none,0.434,
2026-07-26T19:25:53.740436+00:00,temperature,4.097,4.0,none,,
2026-07-26T19:25:54.906515+00:00,temperature,3.968,4.0,none,,
2026-07-26T19:25:54.906515+00:00,vibration_rms,,,none,0.355,
2026-07-26T19:25:56.229312+00:00,temperature,4.089,4.0,none,,
2026-07-26T19:25:57.428268+00:00,temperature,3.517,4.0,none,,
2026-07-26T19:25:57.428268+00:00,vibration_rms,,,none,0.46,
2026-07-26T19:25:58.739489+00:00,temperature,3.644,4.0,none,,
2026-07-26T19:25:59.894174+00:00,temperature,3.921,4.0,none,,
2026-07-26T19:25:59.894174+00:00,vibration_rms,,,none,0.428,
2026-07-26T19:26:01.229255+00:00,temperature,4.237,4.0,none,,
