temp_mean,temp_std,temp_rate,vibration_rms,vibration_peak,vibration_kurtosis
4.8656,0.8791293,2.5476,1.0934138,1.2274001,3.9493904
5.662433,0.9438042,2.2671998,1.0978432,1.2442,4.534426
6.4840465,0.93084615,2.2543998,1.1056023,1.2442,4.218892
7.2535334,1.0025083,2.4936001,1.1268266,1.2406,3.8116865
8.038393,1.0800478,2.8215997,1.1393616,1.2788,4.339498
8.7899,1.156579,2.4236004,1.1333199,1.2788,3.6527026
9.53914,1.2199883,2.7164001,1.1338706,1.3062,4.3652062
10.346913,1.3679352,2.7811997,1.1181418,1.3062,3.7121441
11.088873,1.3679957,3.1368003,1.1196276,1.2746,4.1814694
11.860753,1.4893602,2.0008,1.123148,1.2746,3.894223
12.576513,1.601175,2.7212002,1.0818048,1.2746,4.08727
13.279913,1.5562761,2.3388004,1.0624588,1.2158,4.190654
14.029807,1.6858649,2.7532,1.0313838,1.2158,3.516533
14.81986,1.814502,2.8304,1.0564224,1.2424,4.00306
15.632887,1.8622694,2.423201,1.0929762,1.2424,3.6144311
16.429914,1.9448401,2.9280007,1.1279924,1.2424,4.40496
17.216093,2.0624304,2.9547997,1.1237395,1.249,4.167626
18.001614,2.130932,2.6739998,1.1257862,1.249,4.298525
18.776033,2.232774,3.0164,1.1261549,1.2446,4.501443
19.50896,2.2539427,2.523999,1.1333842,1.2446,3.979176
