timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-29T18:06:31.356426+00:00,temperature,3.982,4.0,none,,
2026-07-29T18:06:32.635911+00:00,temperature,4.127,4.0,none,,
2026-07-29T18:06:32.635911+00:00,vibration_rms,,,none,0.455,
2026-07-29T18:06:34.145267+00:00,temperature,3.719,4.0,none,,
2026-07-29T18:06:35.406782+00:00,temperature,3.454,4.0,none,,
2026-07-29T18:06:35.406782+00:00,vibration_rms,,,none,0.465,
2026-07-29T18:06:36.850598+00:00,temperature,4.335,4.0,none,,
2026-07-29T18:06:38.084474+00:00,temperature,3.883,4.0,none,,
2026-07-29T18:06:38.084474+00:00,vibration_rms,,,none,0.381,
2026-07-29T18:06:39.551634+00:00,temperature,4.347,4.0,none,,
2026-07-29T18:06:40.751411+00:00,temperature,3.662,4.0,none,,
2026-07-29T18:06:40.751411+00:00,vibration_rms,,,none,0.418,
2026-07-29T18:06:42.263823+00:00,temperature,3.722,4.0,none,,
2026-07-29T18:06:43.507310+00:00,temperature,4.019,4.0,none,,
2026-07-29T18:06:43.507310+00:00,vibration_rms,,,none,0.544,
2026-07-29T18:06:44.926869+00:00,temperature,4.396,4.0,none,,
2026-07-29T18:06:46.142027+00:00,temperature,4.133,4.0,none,,
2026-07-29T18:06:46.142027+00:00,vibration_rms,,,none,0.419,
2026-07-29T18:06:47.608370+00:00,temperature,3.491,4.0,none,,
2026-07-29T18:06:48.818879+00:00,temperature,3.911,4.0,none,,
2026-07-29T18:06:48.818879+00:00,vibration_rms,,,none,0.46,
2026-07-29T18:06:48.818879+00:00,door_event,,,none,,OPEN
2026-07-29T18:06:50.198783+00:00,temperature,3.797,4.0,none,,
2026-07-29T18:06:51.417780+00:00,temperature,3.753,4.0,none,,
2026-07-29T18:06:51.417780+00:00,vibration_rms,,,none,0.384,
2026-07-29T18:06:52.806034+00:00,temperature,4.079,4.0,none,,
2026-07-29T18:06:54.031419+00:00,temperature,4.234,4.0,none,,
2026-07-29T18:06:54.031419+00:00,vibration_rms,,,none,0.504,
2026-07-29T18:06:55.438088+00:00,temperature,3.513,4.0,none,,
2026-07-29T18:06:56.664148+00:00,temperature,4.274,4.0,none,,
2026-07-29T18:06:56.664148+00:00,vibration_rms,,,none,0.514,
2026-07-29T18:06:58.089811+00:00,temperature,3.772,4.0,none,,
2026-07-29T18:06:59.308600+00:00,temperature,3.654,4.0,none,,
2026-07-29T18:06:59.308600+00:00,vibration_rms,,,none,0.422,
2026-07-29T18:07:00.717028+00:00,temperature,3.835,4.0,none,,
2026-07-29T18:07:01.932656+00:00,temperature,3.891,4.0,none,,
2026-07-29T18:07:01.932656+00:00,vibration_rms,,,none,0.492,
2026-07-29T18:07:03.299491+00:00,temperature,4.415,4.0,none,,
2026-07-29T18:07:04.549164+00:00,temperature,4.189,4.0,none,,
2026-07-29T18:07:04.549164+00:00,vibration_rms,,,none,0.458,
2026-07-29T18:07:06.055107+00:00,temperature,3.756,4.0,none,,
2026-07-29T18:07:07.323450+00:00,temperature,4.313,4.0,none,,
2026-07-29T18:07:07.323450+00:00,vibration_rms,,,none,0.454,
2026-07-29T18:07:08.768743+00:00,temperature,4.031,4.0,none,,
2026-07-29T18:07:10.012081+00:00,temperature,3.582,4.0,none,,
2026-07-29T18:07:10.012081+00:00,vibration_rms,,,none,0.461,
2026-07-29T18:07:11.468269+00:00,temperature,3.601,4.0,none,,
2026-07-29T18:07:12.701378+00:00,temperature,4.272,4.0,none,,
2026-07-29T18:07:12.701378+00:00,vibration_rms,,,none,0.427,
2026-07-29T18:07:14.190632+00:00,temperature,3.717,4.0,none,,
2026-07-29T18:07:15.468403+00:00,temperature,4.113,4.0,none,,
2026-07-29T18:07:15.468403+00:00,vibration_rms,,,none,0.449,
2026-07-29T18:07:16.898890+00:00,temperature,4.249,4.0,none,,
2026-07-29T18:07:18.144188+00:00,temperature,3.702,4.0,none,,
2026-07-29T18:07:18.144188+00:00,vibration_rms,,,none,0.449,
2026-07-29T18:07:19.564307+00:00,temperature,3.465,4.0,none,,
2026-07-29T18:07:20.756322+00:00,temperature,4.001,4.0,none,,
2026-07-29T18:07:20.756322+00:00,vibration_rms,,,none,0.427,
2026-07-29T18:07:22.154366+00:00,temperature,4.258,4.0,none,,
2026-07-29T18:07:23.369626+00:00,temperature,3.124,4.0,none,,
2026-07-29T18:07:23.369626+00:00,vibration_rms,,,none,0.364,
2026-07-29T18:07:24.834086+00:00,temperature,4.323,4.0,none,,
2026-07-29T18:07:26.072099+00:00,temperature,3.949,4.0,none,,
2026-07-29T18:07:26.072099+00:00,vibration_rms,,,none,0.407,
2026-07-29T18:07:28.177043+00:00,temperature,4.016,4.0,none,,
2026-07-29T18:07:29.831177+00:00,temperature,4.05,4.0,none,,
2026-07-29T18:07:29.831177+00:00,vibration_rms,,,none,0.508,
2026-07-29T18:07:31.677511+00:00,temperature,3.652,4.0,none,,
2026-07-29T18:07:32.904279+00:00,temperature,3.647,4.0,none,,
2026-07-29T18:07:32.904279+00:00,vibration_rms,,,none,0.348,
2026-07-29T18:07:34.323435+00:00,temperature,3.695,4.0,none,,
2026-07-29T18:07:35.604093+00:00,temperature,3.022,4.0,none,,
2026-07-29T18:07:35.604093+00:00,vibration_rms,,,none,0.464,
2026-07-29T18:07:37.056219+00:00,temperature,4.575,4.0,none,,
2026-07-29T18:07:38.269201+00:00,temperature,3.814,4.0,none,,
2026-07-29T18:07:38.269201+00:00,vibration_rms,,,none,0.541,
2026-07-29T18:07:39.682134+00:00,temperature,3.74,4.0,none,,
2026-07-29T18:07:40.913058+00:00,temperature,3.975,4.0,none,,
2026-07-29T18:07:40.913058+00:00,vibration_rms,,,none,0.464,
2026-07-29T18:07:42.312609+00:00,temperature,3.954,4.0,none,,
2026-07-29T18:07:43.525620+00:00,temperature,4.12,4.0,none,,
2026-07-29T18:07:43.525620+00:00,vibration_rms,,,none,0.476,
2026-07-29T18:07:45.023952+00:00,temperature,4.188,4.0,none,,
2026-07-29T18:07:46.238448+00:00,temperature,3.991,4.0,none,,
2026-07-29T18:07:46.238448+00:00,vibration_rms,,,none,0.467,
2026-07-29T18:07:47.669389+00:00,temperature,4.12,4.0,none,,
2026-07-29T18:07:48.891556+00:00,temperature,4.037,4.0,none,,
2026-07-29T18:07:48.891556+00:00,vibration_rms,,,none,0.542,
2026-07-29T18:07:50.325151+00:00,temperature,4.033,4.0,none,,
2026-07-29T18:07:51.573379+00:00,temperature,3.595,4.0,none,,
