timestamp,sensor,value_c,setpoint_c,anomaly_mode,value_g,event
2026-07-29T18:25:04.411293+00:00,temperature,3.842,4.0,temp_drift,,
2026-07-29T18:25:05.673208+00:00,temperature,4.069,4.0,temp_drift,,
2026-07-29T18:25:05.673208+00:00,vibration_rms,,,temp_drift,0.42,
2026-07-29T18:25:08.784697+00:00,temperature,3.817,4.0,temp_drift,,
2026-07-29T18:25:09.985725+00:00,temperature,4.186,4.0,temp_drift,,
2026-07-29T18:25:09.985725+00:00,vibration_rms,,,temp_drift,0.486,
2026-07-29T18:25:11.383537+00:00,temperature,4.027,4.0,temp_drift,,
2026-07-29T18:25:11.383537+00:00,door_event,,,temp_drift,,OPEN
2026-07-29T18:25:12.688266+00:00,temperature,4.867,4.0,temp_drift,,
2026-07-29T18:25:12.688266+00:00,vibration_rms,,,temp_drift,0.499,
2026-07-29T18:25:14.052175+00:00,temperature,4.452,4.0,temp_drift,,
2026-07-29T18:25:15.254610+00:00,temperature,4.527,4.0,temp_drift,,
2026-07-29T18:25:15.254610+00:00,vibration_rms,,,temp_drift,0.502,
2026-07-29T18:25:16.658396+00:00,temperature,4.667,4.0,temp_drift,,
2026-07-29T18:25:17.852985+00:00,temperature,4.688,4.0,temp_drift,,
2026-07-29T18:25:17.852985+00:00,vibration_rms,,,temp_drift,0.427,
2026-07-29T18:25:19.276406+00:00,temperature,4.856,4.0,temp_drift,,
2026-07-29T18:25:20.500208+00:00,temperature,4.934,4.0,temp_drift,,
2026-07-29T18:25:20.500208+00:00,vibration_rms,,,temp_drift,0.524,
2026-07-29T18:25:21.908747+00:00,temperature,5.368,4.0,temp_drift,,
2026-07-29T18:25:23.124737+00:00,temperature,5.14,4.0,temp_drift,,
2026-07-29T18:25:23.124737+00:00,vibration_rms,,,temp_drift,0.478,
2026-07-29T18:25:24.499716+00:00,temperature,4.811,4.0,temp_drift,,
2026-07-29T18:25:25.709983+00:00,temperature,5.423,4.0,temp_drift,,
2026-07-29T18:25:25.709983+00:00,vibration_rms,,,temp_drift,0.451,
2026-07-29T18:25:27.805945+00:00,temperature,4.443,4.0,temp_drift,,
2026-07-29T18:25:29.074982+00:00,temperature,5.455,4.0,temp_drift,,
2026-07-29T18:25:29.074982+00:00,vibration_rms,,,temp_drift,0.433,
2026-07-29T18:25:30.486961+00:00,temperature,5.634,4.0,temp_drift,,
2026-07-29T18:25:31.687484+00:00,temperature,5.912,4.0,temp_drift,,
2026-07-29T18:25:31.687484+00:00,vibration_rms,,,temp_drift,0.507,
2026-07-29T18:25:33.069894+00:00,temperature,5.571,4.0,temp_drift,,
2026-07-29T18:25:34.312841+00:00,temperature,5.991,4.0,temp_drift,,
2026-07-29T18:25:34.312841+00:00,vibration_rms,,,temp_drift,0.496,
2026-07-29T18:25:35.755725+00:00,temperature,5.785,4.0,temp_drift,,
2026-07-29T18:25:35.755725+00:00,door_event,,,temp_drift,,OPEN
2026-07-29T18:25:36.982143+00:00,temperature,5.304,4.0,temp_drift,,
2026-07-29T18:25:36.982143+00:00,vibration_rms,,,temp_drift,0.332,
2026-07-29T18:25:38.377198+00:00,temperature,6.093,4.0,temp_drift,,
2026-07-29T18:25:39.579650+00:00,temperature,5.851,4.0,temp_drift,,
2026-07-29T18:25:39.579650+00:00,vibration_rms,,,temp_drift,0.49,
2026-07-29T18:25:41.001247+00:00,temperature,6.33,4.0,temp_drift,,
2026-07-29T18:25:42.246206+00:00,temperature,6.372,4.0,temp_drift,,
2026-07-29T18:25:42.246206+00:00,vibration_rms,,,temp_drift,0.35,
2026-07-29T18:25:43.769283+00:00,temperature,5.901,4.0,temp_drift,,
2026-07-29T18:25:45.003888+00:00,temperature,6.141,4.0,temp_drift,,
2026-07-29T18:25:45.003888+00:00,vibration_rms,,,temp_drift,0.417,
2026-07-29T18:25:46.453668+00:00,temperature,6.493,4.0,temp_drift,,
2026-07-29T18:25:47.668371+00:00,temperature,6.395,4.0,temp_drift,,
2026-07-29T18:25:47.668371+00:00,vibration_rms,,,temp_drift,0.47,
2026-07-29T18:25:49.069162+00:00,temperature,6.127,4.0,temp_drift,,
2026-07-29T18:25:49.069162+00:00,door_event,,,temp_drift,,OPEN
2026-07-29T18:25:50.283421+00:00,temperature,7.131,4.0,temp_drift,,
2026-07-29T18:25:50.283421+00:00,vibration_rms,,,temp_drift,0.496,
2026-07-29T18:25:51.768834+00:00,temperature,6.596,4.0,temp_drift,,
2026-07-29T18:25:52.999782+00:00,temperature,7.227,4.0,temp_drift,,
2026-07-29T18:25:52.999782+00:00,vibration_rms,,,temp_drift,0.578,
2026-07-29T18:25:54.424514+00:00,temperature,7.201,4.0,temp_drift,,
2026-07-29T18:25:55.635667+00:00,temperature,6.785,4.0,temp_drift,,
2026-07-29T18:25:55.635667+00:00,vibration_rms,,,temp_drift,0.359,
2026-07-29T18:25:57.067733+00:00,temperature,6.507,4.0,temp_drift,,
2026-07-29T18:25:58.313683+00:00,temperature,7.064,4.0,temp_drift,,
2026-07-29T18:25:58.313683+00:00,vibration_rms,,,temp_drift,0.485,
2026-07-29T18:25:59.712074+00:00,temperature,7.425,4.0,temp_drift,,
2026-07-29T18:26:00.936897+00:00,temperature,6.898,4.0,temp_drift,,
2026-07-29T18:26:00.936897+00:00,vibration_rms,,,temp_drift,0.458,
2026-07-29T18:26:02.344563+00:00,temperature,8.005,4.0,temp_drift,,
2026-07-29T18:26:03.581420+00:00,temperature,7.697,4.0,temp_drift,,
2026-07-29T18:26:03.581420+00:00,vibration_rms,,,temp_drift,0.49,
2026-07-29T18:26:04.968900+00:00,temperature,7.005,4.0,temp_drift,,
2026-07-29T18:26:06.191543+00:00,temperature,7.359,4.0,temp_drift,,
2026-07-29T18:26:06.191543+00:00,vibration_rms,,,temp_drift,0.426,
2026-07-29T18:26:07.590262+00:00,temperature,7.388,4.0,temp_drift,,
2026-07-29T18:26:08.801431+00:00,temperature,7.248,4.0,temp_drift,,
2026-07-29T18:26:08.801431+00:00,vibration_rms,,,temp_drift,0.445,
2026-07-29T18:26:10.234777+00:00,temperature,8.205,4.0,temp_drift,,
2026-07-29T18:26:11.479178+00:00,temperature,8.359,4.0,temp_drift,,
2026-07-29T18:26:11.479178+00:00,vibration_rms,,,temp_drift,0.503,
2026-07-29T18:26:12.837631+00:00,temperature,7.86,4.0,temp_drift,,
2026-07-29T18:26:14.025890+00:00,temperature,8.403,4.0,temp_drift,,
2026-07-29T18:26:14.025890+00:00,vibration_rms,,,temp_drift,0.505,
2026-07-29T18:26:15.457243+00:00,temperature,7.976,4.0,temp_drift,,
2026-07-29T18:26:16.754839+00:00,temperature,8.407,4.0,temp_drift,,
2026-07-29T18:26:16.754839+00:00,vibration_rms,,,temp_drift,0.436,
2026-07-29T18:26:18.279462+00:00,temperature,8.757,4.0,temp_drift,,
